Speaker,Line
James Barnes,Hey. Pick on someone your own size.
James Barnes,"Sometimes, I think you like getting punched."
Steve Rogers,I had him on the ropes.
James Barnes,How many times is this.
James Barnes,"Oh, you’re from Paramus now. You know it’s illegal to lie on the enlistment form. And seriously, Jersey."
Steve Rogers,You get your orders.
James Barnes,The one-o-seventh. Sergeant James Barnes. Shipping out for England first thing tomorrow.
Steve Rogers,I should be going.
James Barnes,"Come on, man. My last night. Gotta get you cleaned up."
Steve Rogers,Why. Where are we going.
James Barnes,The future.
James Barnes,"I don’t see what the problem is. You’re about to be the last eligible man in New York. You know, there’s three and a half million women here."
Steve Rogers,"Well, I’d settle for just one."
James Barnes,Good thing I took care of that.
Connie,"Hey, Bucky."
Steve Rogers,What did you tell her about me.
James Barnes,Only the good stuff.
Expo Announcer,Welcome to the Modern Marvels Paviliion and the World of Tomorrow. A greater world. A better world.
Connie,"Oh, my God. It’s starting."
Mandy,"Ladies and gentlemen, Mr Howard Stark."
Random Woman,"I love you, Howard."
Howard Stark,"Ladies and gentlemen, what if I told you that in just a few short years, your automobile won’t even have to touch the ground at all."
Howard Stark,"Yes. Thanks, Mandy. With Stark robotic reversion technology, you’ll be able to do just that."
James Barnes,Holy cow.
Howard Stark,"I did say a few years, didn’t I."
James Barnes,"Hey, Steve, what do you say we treat these girls…"
Woman,"Come on, soldier."
James Barnes,Come on. You’re kind of missing the point of a double date. We’re taking the girls dancing.
Steve Rogers,You go ahead. I’ll catch up with you.
James Barnes,You’re really gonna do this again.
Steve Rogers,"Well, it’s a fair. I’m gonna try my luck."
James Barnes,"As who. Steve from Ohio. They’ll catch you. Or worse, they’ll actually take you."
Steve Rogers,"Look, I know you don’t think I can do this."
James Barnes,"This isn’t a back alley, Steve. It’s war."
Steve Rogers,I know it’s a war. You don’t have to tell me.
James Barnes,Why are you so keen to fight. There are so many important jobs.
Steve Rogers,What am I gonna do. Collect scrap metal…
James Barnes,Yes.
Steve Rogers,…in my little red wagon.
James Barnes,Why not.
Steve Rogers,"I’m not gonna sit in a factory, Bucky."
James Barnes,I don’t…
Steve Rogers,"Bucky, come on. There are men laying down their lives. I got no right to do any less than them. That’s what you don’t understand. This isn’t about me."
James Barnes,Right. Cause you got nothing to prove.
Connie,"Hey, Sarge. Are we going dancing."
James Barnes,"Yes, we are. Don’t do anything stupid until I get back."
Steve Rogers,How can I. You’re taking all the stupid with you.
James Barnes,You’re a punk.
Steve Rogers,Jerk. Be careful.
Steve Rogers,Don’t win the war till I get there.
James Barnes,Come on girls. They’re playing our song.
Young Doctor,Wait here.
Steve Rogers,Is there a problem.
Young Doctor,Just wait here.
Dr. Abraham Erskine,"Thank you. So, you want to go overseas. Kill some Nazis."
Steve Rogers,Excuse me.
Dr. Abraham Erskine,Dr Abraham Erskine. I represent the Strategic Scientific Reserve.
Steve Rogers,Steve Rogers.
Steve Rogers,Where are you from.
Dr. Abraham Erskine,"Queens. 73rd Street and Utopia Parkway. Before that, Germany. This troubles you."
Steve Rogers,No.
Dr. Abraham Erskine,"Where are you from, Mr Rogers. Mmm. Is it New Haven. Or Paramus. Five exams in five different cities."
Steve Rogers,That might not be the right file.
Dr. Abraham Erskine,"No, it’s not the exams I’m interested in. It’s the five tries. But you didn’t answer my question. Do you want to kill Nazis."
Steve Rogers,Is this a test.
Dr. Abraham Erskine,Yes.
Steve Rogers,I don’t wanna kill anyone. I don’t like bullies. I don’t care where they’re from.
Dr. Abraham Erskine,"Well, there are already so many big men fighting this war. Maybe what we need now is the little guy, huh. I can offer you a chance."
Dr. Abraham Erskine,Only a chance.
Steve Rogers,I’ll take it.
Dr. Abraham Erskine,"Good. So where is the little guy from, actually."
Steve Rogers,Brooklyn.
Dr. Abraham Erskine,"Congratulations, soldier."
Johann Schmidt,"Are you ready, Dr Zola."
Dr. Arnim Zola,My machine requires the most delicate calibration. Forgive me if I seem overcautious.
Johann Schmidt,And are you certain that those conductors of yours can withstand the energy surge long enough for a transference.
Dr. Arnim Zola,"With this artifact, I am certain of nothing. I fear it may not work at all."
Dr. Arnim Zola,Twenty percent. Forty. Sixty. Stabilising at 70%.
Johann Schmidt,"I have not come all this way for safety, Doctor."
Dr. Arnim Zola,What is that.
Johann Schmidt,"I must congratulate you, Arnim. Your designs do not disappoint. Though they may require some slight reinforcement."
Dr. Arnim Zola,"The exchange is stable. Amazing. The energy we have just collected could power my design, all my designs. This will change the war."
Johann Schmidt,"Dr Zola, this will change the world."
Officer,"Ready, exercise."
Peggy Carter,"Recruits, attention. Gentlemen, I’m Agent Carter. I supervise all operations for this division."
Gilmore Hodge,"What’s with the accent, Queen Victoria. Thought I was signing up for the U.S. Army."
Peggy Carter,"What’s your name, soldier."
Gilmore Hodge,"Gilmore Hodge, your Majesty."
Peggy Carter,"Step forward, Hodge."
Peggy Carter,Put your right foot forward.
Gilmore Hodge,Mmm… We gonna wrassle. Cause I got a few moves I know you’ll like.
Col. Chester Phillips,Agent Carter.
Peggy Carter,Colonel Phillips.
Col. Chester Phillips,I see you’re breaking in the candidates. That’s good. Get your ass up out of that dirt and stand in that line at attention til somebody comes tells you what to do.
Gilmore Hodge,"Yes, sir."
Col. Chester Phillips,General Patton has said that wars are fought with weapons but they are won by men. We are going to win this war because we have the best men… And because they’re gonna get better. Much better. The Strategic Scientific Reserve is an Allied effort made up of the best minds in the free world. Our goal is to create the best army in history. But every army starts with one man. At the end of this week we will choose that man. He will be the first in a new breed of super-soldiers.
Sergeant Duffy,Rogers. Get that rifle out of the mud.
Col. Chester Phillips,"And they, will personally escort Adolf Hitler to the gates of Hell."
Sergeant Duffy,"Pick up the pace, ladies. Let’s go. Double time. Come on. Faster. Faster. Move. Move. Squad, halt. That flag means we’re only at the halfway point. First man to bring it to me gets a ride back with Agent Carter. Move, move."
Soldiers,Come on. Get up there.
Sergeant Duffy,"If that’s all you got, this army’s in trouble. Get up there, Hodge. Come on. Get up there. Nobody’s got that flag in 17 years. Now fall back into line. Come on, fall in. Let’s go. Get back into formation. Rogers. I said fall in."
Steve Rogers,"Thank you, sir."
Peggy Carter,"Faster, ladies. Come on. My grandmother has more life in her, God rest her soul. Move it."
Col. Chester Phillips,"You’re not really thinking about picking Rogers, are you."
Dr. Abraham Erskine,I am more than just thinking about it. He is the clear choice.
Col. Chester Phillips,"When you brought a ninety-pound asthmatic onto my army base, I let it slide. I thought, what the hell. Maybe he’ll be useful to you, like a gerbil. I never thought you’d pick him."
Peggy Carter,Up.
Col. Chester Phillips,You stick a needle in that kids arm and it’s gonna go right through him.
Peggy Carter,"Come on, girls."
Col. Chester Phillips,Look at that. He’s making me cry.
Dr. Abraham Erskine,I am looking for qualities beyond the physical.
Col. Chester Phillips,Do you know how long it took to set up this project.
Dr. Abraham Erskine,"Yeah, I know."
Col. Chester Phillips,All the groveling I had to do in front of Senator What’s-His-Name’s committees.
Dr. Abraham Erskine,"Brandt. Yes, I know. I am well aware of your efforts."
Col. Chester Phillips,"Then throw me a bone. Hodge passed every test we gave him. He’s big, he’s fast, he obeys orders. He’s a soldier."
Dr. Abraham Erskine,He’s a bully.
Col. Chester Phillips,"You don’t win wars with niceness, doctor. You win war with guts. Grenade."
Steve Rogers,Get away. Get back.
Officer,It was a dummy grenade. All clear. Back in formation.
Steve Rogers,Is this is a test.
Col. Chester Phillips,He’s still skinny.
Dr. Abraham Erskine,May I.
Steve Rogers,Yeah.
Dr. Abraham Erskine,Can’t sleep.
Steve Rogers,"I got the jitters, I guess."
Dr. Abraham Erskine,"Me, too."
Steve Rogers,Can I ask you a question.
Dr. Abraham Erskine,Just one.
Steve Rogers,Why me.
Dr. Abraham Erskine,"I suppose that is the only question that matters. This is from Augsburg. My city. So many people forget that the first country that the Nazi’s invaded was their own. You know, after the last war the… my people struggled. They… they felt weak. They felt small. And then Hitler comes along with the marching and the big show and the flags and the… and the… And he… he hears of me, my work and he finds me. And he says, You. He says, You will make us strong. Well, I am not interested. So he sends the head of HYDRA, his research division. A brilliant scientist by the name of Johann Schmidt. Now, Schmidt is a member of the inner circle and he’s ambitious. He and Hitler share a passion for occult power and Teutonic myth. Hitler uses his fantasies to inspire his followers. But for Schmidt, it is not fantasy. For him, it is real. He has become convinced that there is a great power hidden in the earth, left here by the Gods, waiting to be seized by a superior man. So when he hears about my formula and what it can do, he cannot resist."
Dr. Abraham Erskine,Schmidt must become that superior man.
Steve Rogers,Did it make him stronger.
Dr. Abraham Erskine,"Yeah. But, there were other effects. The serum was not ready. But more important, the man. The serum amplifies everything that is inside. So, good becomes great. Bad becomes worse. This is why you were chosen. Because a strong man, who has known power all his life, will lose respect for that power. But a weak man knows the value of strength, and knows compassion."
Steve Rogers,Thanks. I think.
Dr. Abraham Erskine,"Whatever happens tomorrow, you must promise me one thing. That you will stay who you are. Not a perfect soldier, but a good man."
Steve Rogers,To the little guys.
Dr. Abraham Erskine,No. No. Wait. Wait. What I am doing. No. You have a procedure tomorrow. No fluids.
Steve Rogers,All right. We’ll drink it after.
Dr. Abraham Erskine,No. I don’t have procedure tomorrow. Drink it after. Drink it now.
Johann Schmidt,Is there something in particular you need.
Dr. Arnim Zola,I understand you found him.
Johann Schmidt,See for yourself. You disapprove.
Dr. Arnim Zola,I just don’t see why you need concern yourself. I can’t imagine he will succeed. Again.
Johann Schmidt,"His serum is the Allies’ only defence against this power we now possess. If we take it away from them, then our victory is assured."
Dr. Arnim Zola,Shall I give the order.
Johann Schmidt,It has been given.
Dr. Arnim Zola,Good.
Johann Schmidt,Dr Zola. What do you think.
Dr. Arnim Zola,A masterpiece.
Steve Rogers,I know this neighborhood. I got beat up in that alley. And that parking lot. And behind that diner.
Peggy Carter,Did you have something against running away.
Steve Rogers,"You start running they’ll never let you stop. You stand up, push back. Can’t say no forever, right."
Peggy Carter,I know a little of what that’s like. To have every door shut in your face.
Steve Rogers,"I guess I just don’t why you’d wanna join the army if you’re a beautiful dame. Or a beautiful… a woman. An agent, not a dame. You are beautiful, but…"
Peggy Carter,"You have no idea how to talk to a woman, do you."
Steve Rogers,This is the longers conversation I’ve had with one. Women aren’t exactly lining up to dance with a guy they might step on.
Peggy Carter,You must have danced.
Steve Rogers,"Well, asking a woman to dance always seems so terrifying. And the past few years just didn’t seem to matter that much. Figured I’d wait."
Peggy Carter,For what.
Steve Rogers,The right partner.
Peggy Carter,This way.
Steve Rogers,What are we doing here.
Peggy Carter,Follow me.
Antique Store Owner,Wonderful weather this morning isn’t it.
Peggy Carter,"Yes, but I always carry an umbrella."
Dr. Abraham Erskine,"Good morning. Please, not now. Are you ready. Good. Take off your shirt, your tie and your hat."
Col. Chester Phillips,"Senator Brandt, glad you could make it."
Senator Brandt,Why exactly am I in Brooklyn.
Col. Chester Phillips,"We needed access to the city’s power grid. Of course, if you’d given me the generators I requisitioned…"
Senator Brandt,"A lot of people are asking for funds, Colonel. Oh, this is…"
Heinz Kruger,"Fred Clemson, State Department. If this project of yours comes through, we’d like to see it used for something other than headlines."
Senator Brandt,Jesus. Somebody get that kid a sandwich.
Dr. Abraham Erskine,Comfortable.
Steve Rogers,It’s a little big. You save me any of that schnapps.
Dr. Abraham Erskine,"Not as much as I should have. Sorry. Next time. Mr Stark, how are your levels."
Howard Stark,Levels at 100%.
Dr. Abraham Erskine,Good.
Howard Stark,"We may dim half the lights in Brooklyn, but we are ready as we’ll ever be."
Dr. Abraham Erskine,Agent Carter. Don’t you think you would be more comfortable in the booth.
Peggy Carter,"Oh, yes. Of course. Sorry."
Dr. Abraham Erskine,"Good. Do you hear me. is this on. Ladies and gentlemen, today we take not another step towards annihilation, but the first step on the path to peace. We begin with a series of micro injections into the subjects major muscle groups. The serum infusion will cause immediate cellular change. And then to stimulate growth, the subject will be saturated with Vita-Rays."
Steve Rogers,That wasn’t so bad.
Dr. Abraham Erskine,"That was penicillin. Serum infusion beginning in five, four, three, two, one. Now, Mr Stark. Steven, can you hear me."
Steve Rogers,"It’s probably too late to go to the bathroom, right."
Dr. Abraham Erskine,We will proceed.
Howard Stark,That’s ten percent. Twenty percent. Thirty. That’s 40 %.
SSR Doctor,Vital signs are normal.
Howard Stark,That’s 50 %. Sixty. Seventy.
Dr. Abraham Erskine,Steven.
Peggy Carter,Shut it down.
Dr. Abraham Erskine,Steven.
Peggy Carter,Shut it down.
Dr. Abraham Erskine,"Kill the reactor, Mr Stark. Turn it off. Kill it. Kill the reactor."
Steve Rogers,No. Don’t. I can do this.
Howard Stark,Eighty. Ninety. That’s 100 %.
Dr. Abraham Erskine,Mr Stark.
Dr. Abraham Erskine,Steven. Steven.
Col. Chester Phillips,The son of a bitch did it.
Steve Rogers,I did it.
Dr. Abraham Erskine,"Yeah, yeah. I think we did it."
Howard Stark,We actually did it.
Peggy Carter,How do you feel.
Steve Rogers,Taller.
Peggy Carter,You look taller.
Col. Chester Phillips,"How do you like Brooklyn now, Senator."
Senator Brandt,"I can think of some folks in Berlin who are about to get very nervous. Congratulations, Doctor."
Dr. Abraham Erskine,"Thank you, sir."
Dr. Abraham Erskine,Stop him.
Taxi Driver,"What are you doing. Buddy, are you all right. Hey, this guy’s been shot."
Steve Rogers,"Sorry. I’m sorry. Whoa, whoa, whoa."
Mother,No. No. Not my son.
Young Boy,Stop it.
Mother,Don’t hurt him.
Heinz Kruger,Get back.
Young Boy,Let me go.
Mother,Let go of my son. Don’t hurt him.
Steve Rogers,"Wait, don’t. Don’t. No. Don’t."
Young Boy,Go get him. I can swim.
Steve Rogers,Who the hell are you.
Heinz Kruger,"The first of many. Cut off one head, two more shall take its place. Hail HYDRA."
Hutter,"The Führer is not accustomed to being ignored, Herr Schmidt. He funds your research because you promised him weapons."
Schneider,You serve at his pleasure. He gave you this facility as a reward for your injuries.
Johann Schmidt,Reward. Call it what it is. Exile. I no longer reflect his image of Aryan perfection.
Roeder,You think this is about appearances. Your HYDRA division has failed to deliver so much as a rifle in over a year. And we had learned through local intelligence you had mounted a full-scale incursion into Norway.
Schneider,The Führer feels… How does he put it. The Red Skull has been indulged long enough.
Johann Schmidt,"Gentlemen, you have come to see the results of our work. Let me show you. Hitler speaks of a thousand-year Reich, but he cannot feed his army for a month. His troops spill their blood across every field in Europe. But still he is no closer to achieving his goals."
Roeder,And I suppose you still aim to end this war through magic.
Johann Schmidt,"Science. But I understand your confusion. Great power has always baffled primitive men. HYDRA is assembling an arsenal to destroy my enemies in one stroke. Where ever they are, regardless of how many forces they possess. All in a matter of hours."
Roeder,Your enemies.
Johann Schmidt,"My weapons contain enough destructive power to decimate every hostile capital on earth. Quite simply, gentlemen, I have harnessed the power of the Gods."
Schneider,"Thank you, Schmidt."
Johann Schmidt,For what.
Schneider,For making it clear how obviously mad you are.
Hutter,Berlin is on this map.
Johann Schmidt,So it is.
Hutter,You will be punished for your insolence. You will be brought before the Führer himself.
Roeder,Schmidt.
Johann Schmidt,"My apolpgies, Doctor, but we both knew HYDRA could grow no further in Hitler’s shadow. Hail HYDRA."
HYDRA technicians,Hail HYDRA.
Dr. Arnim Zola,Hail HYDRA.
Steve Rogers,Think you got enough.
Peggy Carter,"Any hope of reproducing a program is locked in your genetic code. But without Dr Erskine, it could take years."
Steve Rogers,He deserved more than this.
Peggy Carter,"If it could only work once, he’d be proud it was you."
Senator Brandt,"Colonel Phillips, my committee is demanding answers."
Col. Chester Phillips,Great. Why don’t we start with how a German spy got a ride to my secret installation in your car. What have we got here.
Howard Stark,"Speaking modestly, I’m the best mechanical engineer in this country. But I don’t know what’s inside this thing or how it works. We’re not even close to this technology."
Senator Brandt,Then who is.
Col. Chester Phillips,HYDRA. I’m sure you’ve been reading our briefings.
Senator Brandt,"I’m on a number of committees, Colonel."
Peggy Carter,HYDRA is the Nazi deep science division. It’s led by Johann Schmidt. But he has much bigger ambitions.
Col. Chester Phillips,"HYDRA’s practically a cult. They worship Schmidt, they think he’s invincible."
Senator Brandt,So what are you gonna do about it.
Col. Chester Phillips,Spoke to the president this morning. As of today the SSR is being retasked.
Peggy Carter,Colonel.
Col. Chester Phillips,"We are taking the fight to HYDRA. Pack your bags Agent Carter. You too, Stark. You’re flying to London tonight."
Steve Rogers,"Sir, if you’re going after Schmidt, I want in."
Col. Chester Phillips,You’re an experiment. You’re going to Alamogordo.
Steve Rogers,The serum worked.
Col. Chester Phillips,I asked for an army and all I got was you. You are not enough.
Senator Brandt,"With all due respect to the Colonel, I think we may be missing the point. I’ve seen you in action, Steve. More importantly, the country’s seen it. Paper., headlines: Nazis in New York - mystery man saves child] The enlistment lines have been around the block since your picture hit the newsstands. You don’t take a soldier, a symbol like that, and hide him in a lab. Son, do you want to serve your country on the most important battlefield of the war."
Steve Rogers,"Sir, that’s all I want."
Senator Brandt,"Then, congratulations. You just got promoted."
Steve Rogers,I don’t know if I can do this.
Brandt’s Aide,"Nothing to it. Sell off a few bonds, bonds buy bullets, bullets kills Nazi’s. Bing bang boom. You’re an American hero."
Steve Rogers,It’s just not how I pictured getting there.
Brandt’s Aide,"The senator’s got a lot of pull up on the hill. You play ball with us, you’ll be leading your own platoon in no time. Take the shield."
USO Singer,"Who’s strong and brave, here to save the American way."
Steve Rogers,Not all of us can storm a beach or drive a tank. But there’s still a way all of us can fight.
USO Singer,"Who vows to fight like a man, for what’s right, night and day."
Steve Rogers,Series E Defence Bonds. Each one you buy is a bullet in the barrel of your best guy’s gun.
USO Singer,"Who will campaign door-to-door for America. Carry the flag shore to shore for America. From Hoboken to Spokane, the star-spangeld man with a plan."
Director,"Cut. Guys, don’t look ath the camera."
USO Singer,We can’t ignore there’s a threat and a war we must win.
Steve Rogers,Each one you buy is a bullet in the barrel of your best guy’s gun.
USO Singer,"Who’ll hang a noose on the goose-stepping goons from Berlin. Who will redeem, heed the call for America. Who’ll rise or fall, give his all for America. Who’s here to prove that we can. The star-spangled man with a plan."
Steve Rogers,"We all know this is about trying to win the war. We can’t do that without bullets and bandages, tanks and tents. That’s where you come in. Every bond you buy will help protect someone you love."
Kids in USO Audience,Turn around. He’s right behind you.
Steve Rogers,"Keep our boys armed and ready, and the Germans will think twice about trying to get the drop on us."
USO Singer,"Stalwart and steady and true, forcefull and ready to defend, the red, white, and blue. Who’ll give the Axis the sack and is smart as a fox. Far as an eagle will soar. Who’s making Adolf afraid to step out of his box. He knows what we’re fighting for. Who waked the giant that napped in America. We know it’s no one but Captain America. Who’ll finish what they began. Who’ll kick the Krauts to Japan. The star-spangled man with a aplan."
Steve Rogers,How many of you ready to help me sock old Adolf on the jaw. Okay. Uh… I need a volunteer.
Army Heckler#1,I already volunteered. How do you think I got here. Bring back the girls.
Steve Rogers,I think they only know the one song. But um…let me…I’ll…I’ll see what I can do.
Army Heckler#1,"You do that, sweetheart."
Army Heckler#2,"Nice boots, Tinker Bell."
Steve Rogers,"Come on, guys. We’re all on the same team here."
Army Heckler#3,"Hey, Captain. Sign this."
Army Heckler#4,Bring back the girls.
Brandt’s Aide,"Don’t worry, pal. They’ll warm up to you. Don’t worry."
Peggy Carter,"Hello, Steve."
Steve Rogers,Hi.
Peggy Carter,Hi.
Steve Rogers,What are you doin’ here.
Peggy Carter,Officially I’m not here at all. That was quite a performance.
Steve Rogers,Yeah. Uh… I had to improvise a little bit. Crowds I’m used to are usually more uh… twelve.
Peggy Carter,I understand you’re America’s New Hope.
Steve Rogers,Bond sales take a ten percent bump in every state I visit.
Peggy Carter,Is that Senator Brandt I hear.
Steve Rogers,At least he’s got me doin’ this. Phillips would have had be stuck in lab.
Peggy Carter,"And these are your only two options. A lab rat or a dancing monkey. You were meant for more than this, you know. What."
Steve Rogers,"You know for the longest time I dreamed about coming overseas and being on the front lines. Serving my country. I finally get everything I wanted, and I’m wearing tights. They look like they’ve been through hell."
Peggy Carter,These men more than most. Schmidt sent out a force to Azzano. Two hundred men went up against him and less than fifty returned. Your audience contained what was left of the one-oh-seventh. The rest were killed or captured.
Steve Rogers,The one-oh-seventh.
Peggy Carter,What.
Steve Rogers,Come on. Colonel Phillips.
Col. Chester Phillips,"Well, if it isn’t the Star-Spangled Man With A Plan. And what is your plan today."
Steve Rogers,I need the casualty list from Azzano.
Col. Chester Phillips,"You don’t get to give me orders, son."
Steve Rogers,I just need one name. Sergeant James Barnes from the hundred and seventh.
Col. Chester Phillips,You and I are gonna have a conversation later that you won’t enjoy.
Steve Rogers,"Please tell me if he’s alive, sir. B-A-R…"
Col. Chester Phillips,I can spell. I have signed more of these condolence letters today than I would care to count. But the name does sound familiar. I’m sorry.
Steve Rogers,What about the others. Are you planning a rescue mission.
Col. Chester Phillips,Yeah. It’s called winning the war.
Steve Rogers,"But if you know where they are, why not at least…."
Col. Chester Phillips,"They’re thirty miles behind the lines. Through the most heavily fortified territory in Europe. We’d lose more men than we’d save. But I don’t expect you to understand that, because you’re a chorus girl."
Steve Rogers,I think I understand just fine.
Col. Chester Phillips,"Well then understand it somewhere else. If I read the posters correctly, you got some place to be in thirty minutes."
Steve Rogers,"Yes, sir. I do."
Col. Chester Phillips,"If you have something to say, right now is the perfect time to keep it to yourself."
Peggy Carter,What do you plan to do. Walk to Austria.
Steve Rogers,If that’s what it takes.
Peggy Carter,"You heard the Colonel, your friend is most likely dead."
Steve Rogers,You don’t know that.
Peggy Carter,"Even so, he’s devising a strategy. If he detects…"
Steve Rogers,"By the time he’s done that, it could be too late. You told me you thought I was meant for more than this. Did you mean that."
Peggy Carter,Every word.
Steve Rogers,Then you gotta let me go.
Peggy Carter,I can do more than that.
Brandt’s Aide,"On stage, girls. Five minutes."
USO girl,Where’s my helmet.
Brandt’s Aide,Has anyone seen Rogers.
Peggy Carter,"The HYDRA camp is in Krausberg, tucked between these two mountain ranges. It’s a factory of some kind."
Howard Stark,We should be able to drop you right on the doorstep.
Steve Rogers,"Just get me as close as you can. You know, you two are gonna be in a lot of trouble at the lab."
Peggy Carter,And you won’t.
Steve Rogers,"Where I’m goin’, if anybody yells at me I can just shoot ‘em."
Peggy Carter,They will undoubtedly shoot back.
Steve Rogers,"Well, let’s hope it’s good for somethin’."
Howard Stark,"Agent Carter, if we’re not in too much of a hurry I thought we could stop off in Lucerne for a late night fondue."
Peggy Carter,"Stark is the best civilian pilot I’ve ever seen. He’s mad enough to brave this airspace, we’re lucky to have him."
Steve Rogers,So are you two…. Do you…. Fondue.
Peggy Carter,This is your transponder. Activate it when you’re ready and the signal will lead us straight to you.
Steve Rogers,Are you sure this thing works.
Howard Stark,"It’s been tested more than you, pal."
Peggy Carter,Get back here. We’re taking you all the way in.
Steve Rogers,"As soon as I’m free, you turn this thing around and get the hell outta here."
Peggy Carter,You can’t give me orders.
Steve Rogers,The hell I can’t. I’m a Captain.
Dr. Arnim Zola,"As you can see, production of the Valkyrie is progressing on schedule, even with components of this size."
Johann Schmidt,Increase the output by 60 % and see to it our other facilities do the same.
Dr. Arnim Zola,"But the prisoners, I’m not sure they have the strength."
Johann Schmidt,"Then use up what strength they have left, Doctor. There are always more workers."
Dr. Arnim Zola,Not now.
Dum Dum Dugan,"You know, Fritz, one of these days, I’m gonna have a stick of my own."
Steve Rogers,Fellas.
HYDRA guards,Ah.
Gabe Jones,Who are you supposed to be.
Steve Rogers,I’m… Captain America.
James Montgomery Falsworth,I beg your pardon.
Dum Dum Dugan,"What, are we taking everybody."
Jim Morita,"I’m from Fresno, Ace."
Steve Rogers,Is there anybody else. I’m looking for a Sergeant James Barnes.
James Montgomery Falsworth,"There’s an isolation ward in the factory, but no one’s ever come back from it."
Steve Rogers,"All right. The tree line is northwest, 80 yards past the gate. Get out fast and give ‘em hell. I’ll meet you guys in the clearing with anybody else I find."
Gabe Jones,Wait. You know what you’re doin’.
Steve Rogers,Yeah. I’ve knocked out Adolf Hitler over two hundred times.
Jim Morita,You know how to use that thing. Okay.
Johann Schmidt,What is happening.
Dum Dum Dugan,Hey. Not exactly a Buick.
Gabe Jones,That one. Zündung.
Dum Dum Dugan,Zündung.
James Montgomery Falsworth,"Get this thing going, Dugan."
Dum Dum Dugan,I didn’t know you spoke German.
Gabe Jones,"Three semesters at Howards, switched to French, girls much cuter."
Dum Dum Dugan,Didn’t ask for the resume.
Dr. Arnim Zola,"No, no. What are you doing."
Johann Schmidt,Our forces are outmatched.
Jim Morita,Keep moving. Grab those grenades.
James Barnes,Sergeant. 32557…
Steve Rogers,"Bucky. Oh, my God."
James Barnes,Is that…
Steve Rogers,It’s me. It’s Steve.
James Barnes,Steve.
Steve Rogers,Come on.
James Barnes,Steve.
Steve Rogers,I thought you were dead.
James Barnes,I thought you were smaller.
Steve Rogers,Come on.
James Barnes,What happened to you.
Steve Rogers,I joined the Army.
James Barnes,Did it hurt.
Steve Rogers,A little.
James Barnes,Is it permanent.
