Speaker,Line
Mrs Chen,“Moving on” is an American idea.
Katy,"You’re American, Mom. Don’t forget."
Mrs Chen,"Shaun, did my daughter apply to any new jobs this week."
Shang-Chi,She really likes her job. We both do.
Katy,Mm-hmm.
Mrs Chen,Waigong didn’t move here from Hunan so you could park cars for a living.
Katy,"Well, on that note, I think we’re gonna miss our bus."
Shang-Chi,Mm.
Katy,"I’m sorry for my unacceptable job. And for staying out late last night, trying to enjoy my life. But one day, I’ll make you proud, I promise."
Ruihua,"I’m proud of you, sis. Parking cars is super hard."
Katy,"Thanks, bro. Maybe one day you’ll pass your driver’s test, live the dream like me. Come on, Shaun, let’s go."
Waipo,When are you two going to get married.
Shang-Chi,"Waipo, we’re just friends."
Waipo,"All right. Go, go, go."
Katy,Look. Look at that. Look at that girl. She’s writing a research paper on a bus.
Shang-Chi,So.
Katy,That is exactly the daughter my mom wishes came out of her vagina.
Shang-Chi,I’m sorry about her. How’s it goin’.
Gang Member,"Give me the pendant, and no one gets hurt."
Katy,Do you know this guy.
Shang-Chi,"I don’t know what you’re talking about, dude. Hey. Get off of me."
Katy,"Whoa. What is wrong with you, asshole."
Shang-Chi,I don’t want any trouble.
Gang Member,Then give us the pendant.
Katy,"You have the wrong guy. Does he look like he can fight. Come on, bro."
Shang-Chi,You okay.
Klev,"Yo, what up, y’all. It’s your boy Klev, comin’ at you live on the bus. I actually did take a little bit of martial arts as a youth, so I’m gonna try and grade this fight as we’re goin’."
Katy,Holy shit. Who are you.
Klev,"You got this, bro."
Klev,My bad.
Girl on the bus,"No, no, no."
Shang-Chi,Sorry.
Katy,What the hell’s going on.
Shang-Chi,You really wanna talk about this now.
Klev,"Bus driver is down. I’m not gonna handle this. Every time I’ve tried to drive a bus, I get yelled at."
Katy,"Go, you freak."
Shang-Chi,"Open the door, please."
Shang-Chi,"The back is about to go. On my signal, make a hard right."
Katy,What signal.
Shang-Chi,Everybody to the front now.
WOMAN,"Go. Go, go, go."
Klev,"What’s up, y’all. What’s up, y’all. What’s up, y’all."
Razor Fist,You and your sister deserve what’s coming.
Katy,"Hold on, everybody. Oh, God."
Shang-Chi,"Oh, my God."
Katy,Sorry. Heh. We make a good team.
Katy,Shaun. Hey. You need to tell me what the hell’s going on. What are you doing. Where are you going.
Shang-Chi,Macau.
Katy,Macau.
Shang-Chi,"Those guys are going after my sister next, and I have to get to her first."
Katy,You have a sister.
Shang-Chi,"Look, I know this is confusing. I’ll explain it when I get back, I promise."
Katy,"No, no. Hell no, dude. This is bullshit. I have been by your side for half your life. I get there are things you never wanted to talk about, and I never wanted to push. But a guy with a freaking machete for an arm just chopped our bus in half, Shaun. Who the hell are you."
Shang-Chi,My sister sent me this a few months ago. I think it’s the address of where she’s staying. Those guys back there were sent by my dad.
Katy,What.
Shang-Chi,"If they hurt her… I’m sorry, but I have to go."
Katy,Fine. You can explain on the plane.
Shang-Chi,"What. No, Katy, you can’t just… You can explain on the plane, Shaun."
Shang-Chi,After my mom died… my dad started my training.
Shang-Chi,"From sunup to sundown, I was taught every possible way to kill a man."
Shang-Chi,"By the time I was 14, I could barely remember what life was like before she died. That’s how old I was when he sent me on my first assignment. I was willing to do anything he wanted. If he asked me to burn the world down, I would’ve asked him…"
Flight Attendant,"Beef or vegetarian. We’re all out of the chicken, so I can only offer you beef or vegetarian."
Shang-Chi and Katy,Um…
Katy,Vegetarian would be great.
Shang-Chi,"Yeah, same."
Flight Attendant,Okay.
Katy,Thank you. So…
Flight Attendant,"Oh, we’re out of the vegetarian too. Now we only have beef."
Katy,"Beef. ‘Cause that’s all you have, right."
Flight Attendant,"Okay, you’ll have the beef."
Katy,Yes.
Flight Attendant,And…
Shang-Chi,Beef.
Katy,And the beef.
Flight Attendant,Two beefs.
Katy,Did you go through with it.
Shang-Chi,"I knew that I couldn’t go back to him, so I just… ran. I know this is a lot to dump on you."
Katy,I’m sorry about your mom.
Shang-Chi,I should also probably mention that my name’s not technically Shaun.
Katy,What. What is it.
Shang-Chi,It’s Shang-Chi.
Katy,Shaun-Chi.
Shang-Chi,No. Shang-Chi.
Katy,Shaun-Chi.
Shang-Chi,Shang.
Katy,Shaun.
Shang-Chi,Shang.
Katy,Shan.
Shang-Chi,S-H-A-N-G. Shang.
Katy,Shang.
Shang-Chi,Yeah.
Katy,You changed your name from Shang to Shaun.
Shang-Chi,"Yeah, I don’t… Yeah."
Katy,I wonder how your father found you.
Shang-Chi,"Okay, I was 15 years old. All right."
Katy,What is your name change logic. You’re going into hiding.
Shang-Chi,Okay.
Katy,"And your name is Michael, you go on and change it to Mishael."
Shang-Chi,That’s not what happened.
Katy,"It’s like, “Hi, my name’s Gina. “I’m gonna go into hiding. My new name’s Gina.”"
Shang-Chi,Can’t hear you. I’m sorry.
Katy,"Yeah, okay. Oh, yeah, you can hear me."
Security Guy,Sign here to get in.
Shang-Chi,"I’m looking for my sister, Xu Xialing. Have you heard of her. This is the address she gave me. Okay."
Katy,Seems like a nice fella. And this elevator is definitely up to code. There’s absolutely no chance of it just falling off the side of the building…
Jon Jon,Bus Boy.
Shang-Chi,Uh…
Jon Jon,"Two million views in three days, bro."
Katy,"Damn, dude."
Shang-Chi,"Oh, no."
Jon Jon,And you’re the driver.
Katy,"Oh, my Chinese sucks."
Jon Jon,"Oh, all good. I speak A-B-C."
Katy,"Oh, great."
Jon Jon,I’m Jon Jon.
Katy,Jon Jon.
Jon Jon,"Welcome to the Golden Daggers Club. Okay, let’s get you ready to fight."
Shang-Chi,Wait. What.
Jon Jon,We’re a multi-platform global operation. Every fight livestreamed on the dark web. Thousands of viewers placing bets as we speak. This is gonna take your brand to a whole new level.
Shang-Chi,Think there’s been some sort of confusion.
Katy,I like your spike face.
Betting Man,Thanks.
Jon Jon,"Usually, you gotta fight your way to centre ring, but a viral star like you. Front of line, baby."
Shang-Chi,"I’m not here to fight anybody. Okay. I’m looking for my sister, Xu Xialing."
Jon Jon,"Never heard of her. We just lost a fighter at the last minute, so you get the next slot."
Jon Jon,"Nice one, Helen."
Katy,Is he gonna be fighting in one of these.
Jon Jon,"Oh, no, no, no. These are like low-level fights. You’re gonna be fighting up there."
Wong,"That hurt, Emil."
Wong,You want me to show you how it feels.
CROWD,Wong. Wong. Wong. Wong. Wong. Wong.
Jon Jon,"Go, Wong. I always bet on Asian."
Katy,"Oh, my God."
Shang-Chi,"Yeah, look, I’m not going up there, okay. I’m just trying to…"
Jon Jon,"Whoa, whoa, whoa. It’s too late to back out now. You already committed, bro."
Shang-Chi,What.
Jon Jon,"You signed the contract, remember. Your name’s on the roster. The bets are piling in."
Katy,Really. What’s our cut.
Jon Jon,"Oh, it’s huge."
Shang-Chi,It doesn’t matter.
Katy,It matters.
Jon Jon,"Dude, I saw you fight five assassins and a giant Romanian with a razor for an arm on a moving bus. This is just one guy. Just do it. Then we all get paid, and then I’ll help you find whoever you’re looking for."
Katy,Come on. You got this.
Jon Jon,You got this.
Katy,Don’t be nervous.
Shang-Chi,Thank you.
Katy,Yeah.
Shang-Chi,Yeah.
Wong,How’s the jaw.
Wong,Maybe you’ll start controlling those punches like we practiced.
Jon Jon,Love that guy. Now take your shirt off.
Jon Jon,"Ladies and gentlemen, the fight we’ve all been waiting for. The incredible viral sensation, all the way from San Francisco, USA, it’s Bus Boy."
Katy,What happened to your shirt.
Jon Jon,"And his opponent for tonight, it’s Macau’s own fearsome killer… Xu Xialing."
Shang-Chi,Sister.
Shang-Chi,"Wait, wait. What are you doing."
Shang-Chi,I know you’re upset. But can you hear me out. We don’t have time for this.
Jon Jon,"Ooh, that’s gotta hurt."
Shang-Chi,Can you please stop hitting me. Stop it. I’m trying to help you. Dad’s coming for you. I’m not fighting you.
Xu Xialing,You shouldn’t have come back.
Xu Xialing,"Sometimes when I’m doing my forms… I close my eyes, and it’s like I can feel her. Do you ever feel like that."
Shang-Chi,No.
Xu Xialing,"I know what you’re going there to do. I don’t know what he’s telling you, but Mom…"
Shang-Chi,Mom’s dead.
Xu Xialing,Please don’t leave me here.
Shang-Chi,I’ll be back in three days.
Jon Jon,"Xu Xialing, you’re amazing. We love you, Xu Xialing. Whoo."
Shang-Chi,You run this place.
Xu Xialing,I own it.
Shang-Chi,Where’d you get all that money. Did you bet against me.
Katy,"No. Hi, Xialing. I’m Katy. You’re, like, such a badass. Everything that you do is, like, so cool. That was really cool."
Xu Xialing,I like your pants.
Katy,Thank you. Thanks. Yeah.
Xu Xialing,What do you want.
Shang-Chi,The Ten Rings ambushed us in San Francisco.
Xu Xialing,I saw the video.
Shang-Chi,"They took my pendant. They’re gonna come for yours next. I don’t know what he wants with them, but we both know it can’t be good."
Xu Xialing,"You know what he said to me when he left. “I’ll be back in three days.” And after three days, I went to our mom’s shrine and waited. Three days turned into a week, a week turned to a month, and a month turned to six years. That’s how long it took me to realise I didn’t need him any more. I built this place on my own. I didn’t need you then, and I don’t need you now."
Shang-Chi,Then why would you send me the postcard.
Xu Xialing,What postcard.
Shang-Chi,I didn’t send you this.
Shang-Chi,Is there a back exit.
Katy,Shaun.
Shang-Chi,"Hey. Hey. Hey, open up."
Katy,"She’s gone, dude."
Katy,What do we do. What do we do. Uh…
Shang-Chi,Come on.
Katy,"Oh, hell no. Screw you. I’m not doing this."
Shang-Chi,"If we make it to the elevator, we can hop in on the next floor."
Shang-Chi,"Katy, we’re out of options. We have to go now. One, two, three."
Katy,Whoa.
Shang-Chi,Just head straight for that elevator. You got this. I’ll buy you some time. Just keep going.
Katy,♪ On a dark desert highway ♪ ♪ Cool wind in my hair ♪
Katy,Shaun.
Katy,Shaun. Shaun.
Shang-Chi,"Oh, my God. Ohhh."
Shang-Chi,I’m coming.
Katy,Shaun.
Shang-Chi,Hang on.
Shang-Chi,Gotcha.
Katy,Shaun.
Shang-Chi,Katy.
Shang-Chi,You left us for dead.
Xu Xialing,Now you know how it feels.
Shang-Chi,What does he want with the pendant…
Xu Xialing,Did America make you soft.
Xu Xialing,He has the pendant.
Xu Wenwu,"I told my men they wouldn’t be able to kill you if they tried. Glad I was right. I’ve missed you, my son. Let’s go home."
Xu Wenwu,My son is home. Take the girls to their room.
Katy,"I’ve seen some really scary stuff this week, but your dad’s on, like, a whole ‘nother level. Is he gonna kill us."
Xu Xialing,Just nod. Don’t talk. He’ll forget you’re there. That’s how I survived.
Katy,He always treat you like that.
Xu Xialing,Only after my mom died. He said he couldn’t look at me because I reminded him of her. I wasn’t allowed to train with the boys. But I watched everything they did and taught myself to do it better.
Katy,When did you leave.
Xu Xialing,I ran away when I was 16. As Soon as I knew my brother wasn’t coming back.
Katy,You started an underground fight ring in Macau when you were 16 years old.
Xu Xialing,"If my dad won’t let me into his empire, I’m gonna build my own."
Katy,Hell yeah.
Xu Wenwu,Shang-Chi. That’s enough. Have you been practicing your English.
Shang-Chi,Yes.
Xu Wenwu,"You have to strengthen your mind along with your body. If you want them to be yours one day, you have to show me you’re strong enough to carry them."
Shang-Chi,How did you find me.
Xu Wenwu,"I always know where my children are. I gave you 10 years to live your life, and where did it get you."
Xu Wenwu,Now it’s time for you to take your place by my side.
Shang-Chi,That’s not gonna happen.
Xu Wenwu,American girl.
Shang-Chi,Her name is Katy.
Xu Wenwu,What is your Chinese name.
Katy,Ruiwen.
Xu Wenwu,"Names are sacred, Ruiwen. They connect us not only to ourselves, but to everyone who came before. A funny story. Some years ago, a terrorist from America needed a boogeyman to bring your country to its knees. So, he appropriated The Ten Rings. My Ten Rings. But because he didn’t know my actual name, he invented a new one. Do you know the name he chose. The Mandarin. He gave his figurehead the name of a chicken dish. And it worked. America was terrified. Of an orange."
Xu Wenwu,"The truth is, I’ve had many names throughout my life. The Warrior King, Master Khan, the most dangerous man on Earth. For years, I thought that was all I was meant to be. But when I met their mother, everything changed."
Xu Wenwu,She showed me a part of myself I didn’t know was there. It was like I was seeing the world for the first time.
Xu Wenwu,She gave up everything so we could be together. And so did I.
Ying Li,"You know who’s in there. Say, “Hello, little sister.”"
Xu Wenwu,"After all those years, I finally found something worth growing old for. My real name is Wenwu. She was the only one who called me that. And when she died… I was lost for many years. But I’m not lost any more. When you children ran away, I was so desperate to connect with your mother, I threw myself back into the studies of her village. The legendary Ta Lo. I wasn’t able to find the secret path to the village entrance, but I did find what they are hiding. There’s a gate deep in their mountains. Your mother is waiting for us there. I know this is a lot. I might not have believed it if she didn’t tell me herself."
Xu Xialing,What are you talking about.
Xu Wenwu,"I was sitting right here in this seat, deep in my research… and she spoke to me. It was like she was standing in this room. I could feel her breath on my cheek and her hand on my back. She told me she needs my help."
Shang-Chi,To do what.
Xu Wenwu,"To save her from her people. After we fell in love, your mother wanted us to live in Ta Lo. She asked permission from the elders, and they refused. They said I wasn’t worthy. She would still be with us. We would all be living there together. Ta Lo did this to us. They locked her behind that gate to punish her. Don’t you see. She’s leaving clues for us. She wants us to find her and bring her home, so we can be a family again."
Shang-Chi,"Dad, Mom’s gone. She’s not talking to you from behind a gate, and she’s not leaving any clues for us."
Xu Wenwu,Then what are these.
Xu Wenwu,"The passage to Ta Lo is guarded by a moving maze. But there’s a direct path through the forest that only opens once a year on Qingming Jie. To get through, you need to know the route and the exact time it opens. Now I know both. Three days from now, we will rescue my wife from her prison and bring her home."
Xu Wenwu,This is why you’re here. To help me bring her back to us.
Xu Xialing,And what happens if they don’t let you open the gate.
Xu Wenwu,We’ll burn the village to the ground.
Shang-Chi,"What. You can’t just march into our mom’s village with this bullshit. I mean, do you have any idea how insane…"
Katy,Hey.
Katy,Where are you taking me.
Xu Wenwu,When will you stop pretending. Lock them up.
Dweller-in-Darkness,"It’s okay, my dear. We’re all going to be together Soon."
Katy,"So, um, pretty confused right now, because, uh, initially I thought your dad should definitely see a therapist for his delusions, but then that dragon vomited a magical water map, and now I have no idea what’s real. Is what he said about your mom’s village true."
Shang-Chi,She used to tell us stories about Ta Lo when we were kids. A village in another dimension full of magical creatures. I thought it was just a fairy tale.
Xu Xialing,What if Dad’s right.
Shang-Chi,About Mom being locked behind a gate by her own people.
Xu Xialing,Crazier things have turned out to be true.
Shang-Chi,"Look, I don’t know what the hell is going on, but if we don’t find a way to get to Ta Lo before him, he’s gonna destroy everything that’s left of our family."
Xu Xialing,This family was destroyed a long time ago.
Shang-Chi,The hell was that.
Trevor Slattery,Oh.
Katy,You’re going toward that noise.
Trevor Slattery,"“Wake Duncan with thy knocking. “Oh, I would’st though could’st. “My deed ’twere best not…” Oh, hello, loves. What year is it."
Katy,Who are you.
Trevor Slattery,Trevor. Slattery. The actor from Liverpool. Wait. Are you the governor’s kids. I’ve been preparing a monologue for your homecoming dinner. Oh. Where’s she going.
Katy,Why are you down here.
Trevor Slattery,"Well, some time ago, I was offered the role of a terrorist. I know, facile, trite, I couldn’t agree more. But times were lean, you know what I mean. Anyway, the producer told me he worked for the BBC. But, ironic twist, it turns out he, in fact, was a terrorist, and I wasn’t playing a character at all, but what I now recognise to be a rather unflattering portrait of your father. We all got our just deserts. The producer got blown up by Iron Man, and I served time in federal prison, which turned out to be the best thing for me. I got clean, I rediscovered my passion."
Shang-Chi,Then my dad broke you out.
Trevor Slattery,Exactly.
Shang-Chi,To kill you.
Trevor Slattery,"Exactly. But just as his men were tying me up for my execution, I launched into a performance of my Macbeth. “Whence is that knocking. Wake Duncan with thy knocking. I would’st though could’st…” They couldn’t get enough of it. I’ve been doing weekly gigs for the lads ever since."
Katy,So you’re like his jester.
Trevor Slattery,"I can give you a quick preview if you like. “Nuncle, nuncle, nuncle…”"
Shang-Chi,"Uh, thank you, Trevor. I think we’re okay. Right now, we really just need to find a way to…"
Shang-Chi,What the hell.
Katy,What the… Oh.
Shang-Chi,Whoa. What is that.
Trevor Slattery,What’s what.
Katy,That. What is that.
Shang-Chi,That. That. That.
Trevor Slattery,You can see Morris.
Katy,Morris.
Trevor Slattery,"Oh, Morris. They can see you. You’re real. All this time I thought I was hallucinating him. Oh, this is such fab news."
Katy,Where’s his face.
Trevor Slattery,He’s a bit sensitive about that.
Trevor Slattery,Oh. Really. Morris says he knows who you are.
Katy,It talks… It talks to you.
Trevor Slattery,"If he didn’t talk to me, I’d have gone mad yonks ago."
Shang-Chi,How would he know me.
Trevor Slattery,"He says he grew up with your mum. In Ta Lo. Apparently, your father picked him up in some magic forest on one of his expeditions to find the entrance."
Trevor Slattery,He wants you to take him home.
Shang-Chi,"Believe me, buddy, I would if I knew how. According to my dad, the path there only opens once a year."
Trevor Slattery,Oh.
Trevor Slattery,"Morris says he can guide you there right now. You can get through the maze without waiting for the path to open. But, and it’s a big “but,” it’s very dangerous."
Katy,How dangerous.
Trevor Slattery,No one’s ever made it out alive. But Morris is 90% confident he can guide us through safely.
Trevor Slattery,Oh. 19%.
Katy,"Look, I’ve done dumber things with worse odds. But even if that chicken-pig is right…"
Katy,…we’re still locked in your…
Xu Xialing,Whew.
Shang-Chi,How did you…
Xu Xialing,Dad has a tunnel system under the whole compound. That’s how I escaped last time.
Katy,Oh.
Xu Xialing,This will take us straight to the garage.
Katy,"Oh, my God. I kinda like this guy."
Shang-Chi,Just head up that ramp and through the front gate. Should be a straight shot. Figure we got about 30 seconds until he…
Trevor Slattery,Do you mind. I get sick in the back. Carsick.
Razor Fist,That’s my car.
Katy,God damn it. Hold on.
Katy,Is there another exit.
Xu Xialing,The other end of the garage. But we need a fingerprint to open it.
Shang-Chi,Incoming.
Katy,Shit.
Katy,What’s happening back there.
Shang-Chi,Doing my best.
AUTOMATED VOICE,Scan hand print for gate access.
Katy,Hurry up.
Shang-Chi,I’m trying.
AUTOMATED VOICE,Scan hand print for gate access.
Katy,Shaun.
AUTOMATED VOICE,Access approved.
Xu Wenwu,They will come back once I bring her home. Prepare the men for war.
Razor Fist,"Yes, sir."
Trevor Slattery,"The first time I witnessed pure artistry. 1968. Planet of the Apes. I was sitting in the cinema next to my mum, watching mastery unfold before my very eyes. After the film, I asked her, “How did they get those monkeys to do those things.” And she patted me on the head and she said, “It’s not real, pet. It’s just acting.” That’s when I knew. If they can teach those monkeys to act that brilliantly, just imagine what I could bring to the world."
Shang-Chi,So you became an actor because you thought the monkeys were actually…
Trevor Slattery,"Riding horses. I did. Yes. When, in fact, they were simply acting as if they were riding horses. I still can’t get my head round it, to be honest."
Katy,"Good for you, dude. You found your passion and went for it, and eventually used it to cripple the US government, but whatever."
Trevor Slattery,"Yeah. No, yeah, thanks."
Shang-Chi,"Um, this is really cool and all, but how long do we have to sit here."
Trevor Slattery,Morris is very clear. The way through is all about timing.
Shang-Chi,"Okay, but how long are we talking. Like, hours. Days."
Trevor Slattery,"Friends, I am but a transitory vessel for the infinite wisdom of a creature far more advanced than we’ll ever truly understand. What he sees, what he feels of this vast, unknown universe is beyond anything our simple brains can…"
Trevor Slattery,Oh. You can go.
Katy,What. Go. You can go. He says “go.”
Trevor Slattery,You should speed up.
Katy,What. Why.
Shang-Chi,"Katy, go, go, go."
Trevor Slattery,"Morris says, “Hard right on three.”"
Katy,What.
Trevor Slattery,Two…
Shang-Chi,Hard right where.
Trevor Slattery,Now.
Trevor Slattery,And left.
Trevor Slattery,It’s all about staying in the pocket.
Katy,What pocket.
Trevor Slattery,We’re in it now.
Shang-Chi,What happens if we don’t stay in the pocket.
Trevor Slattery,The forest eats us.
Shang-Chi,Eats us. What does that mean.
Trevor Slattery,He says it eats us. Go left.
Shang-Chi,Watch your back.
Trevor Slattery,Stay in the pocket.
Katy,How close is it.
Xu Xialing,Five metres.
Trevor Slattery,Stay in the pocket.
Katy,What is that in feet.
Shang-Chi,Really fricking close.
Trevor Slattery,Stay in the pocket.
Katy,"Will you just stop saying, “Stay in the pocket”."
Trevor Slattery,"One last right, then straight on to the end."
Trevor Slattery,You might wanna hurry up.
Katy,What do you think I’m doing.
Xu Xialing,We’re not gonna make it.
Trevor Slattery,"I’m coming home, Mummy."
Trevor Slattery,"Morris says, “Great job, everyone.” Now, all we have to do is go through that waterfall, and we’re pretty much there."
Trevor Slattery,Bloody hell. I think those birds are on fire.
Trevor Slattery,Really. Oh. Morris says it’s normal. They’re old mates of his.
Trevor Slattery,That’s a weird horse. What’s it looking at me for.
Shang-Chi,"Hi there. I am Xu Shang-Chi. This is my sister, Xu Xialing. We’re Ying Li’s children. This is my friend, Katy."
Guang Bo,Get in your car and go home.
Shang-Chi,Please. You don’t understand.
Shang-Chi,Whoa.
Ying Nan,Guang Bo. What are you doing. Put down your weapons. Shang-Chi. Xialing. I’m your aunty Nan. I’ve waited so long to meet you. You look like your mother.
Katy,"Hi, I’m Katy."
Ying Nan,"Welcome to Ta Lo, Katy."
Katy,"Oh, thank you."
Ying Nan,Look who has found his way home.
Trevor Slattery,I’m not a threat. Just an entertainer. Morris can vouch for me.
Shang-Chi,We don’t have much time. Our father is coming.
Ying Nan,"Our people have been here for over 4,000 years, preparing for something we hope will never happen. We are the keepers of the Dark Gate, sworn to protect this realm and yours from the evil that’s locked behind it."
Shang-Chi,Our dad is coming here to open that gate. He thinks you’re holding our mom there.
Ying Nan,Why would he think that.
Xu Xialing,She told him. He says he can hear her asking for help.
IYing Nan,Is he wearing the rings.
Shang-Chi,He hasn’t taken them off since she died. What do they have to do with all this.
Ying Nan,"The realm of Ta Lo stretches far beyond the shores of our small village. We have cities that surpass any in your universe, rich with culture and history. Thousands of years ago, all of our people lived in peace and prosperity, until the attack of the Dweller-in-Darkness. He came with his army, devouring every soul in their path, and with each kill, they grew stronger. After decimating our largest cities, they were headed to your universe to do the same. The leaders of Ta Lo sent their strongest warriors here to stop them from reaching the portal to your world. But our ancestors were no match for them. Until The Great Protector joined their fight and turned the tide. Together, they pushed the Dweller and his army into the Dark Gate and locked it behind them. Our people have guarded that gate ever since, empowered by the magic of The Great Protector and the gift that she gave us."
Ying Nan,"Dragon scales. Makes very good armour. Your father isn’t the first to come here to open the Dark Gate. Many have tried and failed over the centuries, and they all had one thing in common. They were lured here by the voice of something on the other side. A voice that promised them their greatest desires."
Shang-Chi,So you think soul eaters are talking to our dad.
Ying Nan,They know The Ten Rings have the power to break them free.
Katy,Oh. Here you go. Oh.
Woman,To the range.
Katy,"What. Okay. Um, looks like I’m gonna go deliver some dragon arrows."
Shang-Chi,"Oh, you’re gonna deliver some dragon arrows."
Katy,"Yeah. Make myself useful, you know. Thank you."
Ying Nan,Let’s go see your mother.
