Speaker,Line
Ronan,Do not speak for me. You will not fail.
Gamora,Have I ever.
Rocket,"Xandarians. What a bunch of losers. All of them in a big hurry to get from something stupid, to nothing at all. Pathetic. Look at this guy. Can you believe they call us criminals, when he’s assaulting us with that haircut. What is this thing. Look how it thinks it’s so cool. It’s not cool to get help. Walk by yourself, you little gargoyle. chatting up a pretty young woman] Look at Mr Smiles over here. Where’s your wife, old man. What a class-A prevert. Right, Groot. Groot. Don’t drink fountain water, you idiot. That’s disgusting."
Groot,Mmm.
Rocket,"Yes, you did. I just saw you doing it. Why are you lying. Whoop. Looks like we got one. Okay, humie, how bad does someone wanna find you. Forty thousand units. Groot, we’re gonna be rich."
The Broker,Mr Quill
Peter Quill,Broker. The orb. As commissioned.
The Broker,Where’s Yondu.
Peter Quill,"Wanted to be here, sends his love. And told me to tell you, that you got the best eyebrows in the business. What is it."
The Broker,"It’s my policy never to discuss my clients, or their needs."
Peter Quill,"Yeah, well, I almost died getting it for you."
The Broker,"An occupational hazard, I’m sure, in your line of work."
Peter Quill,"Some machine-headed freak, working for a dude named Ronan."
The Broker,"Ronan. I’m sorry, Mr Quill. I truly am. But I want no part of this transaction if Ronan is involved."
Peter Quill,"Woh. Woh, woh, woh. Who’s Ronan."
The Broker,"A Kree fanatic, outraged by the peace treaty, who will not rest until Xandarian culture, my culture, is wiped from existence."
Peter Quill,Woh. Come on.
The Broker,He’s someone whose bad side I’d rather not be on.
Peter Quill,What. What about my bad side.
The Broker,"Farewell, Mr Quill."
Peter Quill,"Hey, we had a deal, bro."
Gamora,What happened.
Peter Quill,"Uh.this guy just backed out of a deal on me. If theres one thing I hate, its a man without integrity. Peter Quill. People call me Star-Lord."
Gamora,You have the bearing of a man of honor.
Peter Quill,"Well, you know, I wouldnt say that. People say it about me, all the time, but its not something I would ever say about myself."
Gamora,This wasnt the plan.
Rocket,Put him in the bag. Put him in the bag.
Rocket,"No. Not her, him. Learn genders, man. Biting. Thats not fair. Take it easy."
Gamora,Fool. You should have learned.
Peter Quill,I dont learn. One of my issues. What the.
Rocket,"Quit smiling, you idiot. Youre supposed to be a professional. You gotta be kidding me. Hey. I live for the simple things. Like how much this is gonna hurt. Yeah. Writhe, little man. Itll grow back, you Dast idiot. Quit whining."
Nova Arresting Pilot,"Subject 89P13, drop your weapon."
Rocket,"Oh, crap."
Nova Arresting Pilot,"By the authority of the Nova Corps, you are under arrest."
Corpsman Dey,Alright. Come on up.
Nova Arresting Pilot,.for endangerment to life and the destruction of property.
Corpsman Dey,Hey. If it isnt Star-Prince.
Peter Quill,Star-Lord.
Corpsman Dey,"Oh, sorry. Lord. I picked this guy up a while back for petty theft. Hes got a code name."
Peter Quill,"Come on, man. Its a.its an outlaw name."
Corpsman Dey,"Just relax, pal. Its cool to have a code name. Its not that weird."
Rocket,Fascists.
Nova Prime,Ronan is destroying Xandarian outposts throughout the galaxy. I should think that would call for some slight response on the part of the Kree.
Kree Ambassador,"We signed your peace treaty, Nova Prime. What more do you want."
Nova Prime,"At least a statement from the Kree Empire saying that they condemn his actions. He is slaughtering children, families."
Kree Ambassador,"That is your business. Now, I have other matters to attend to."
Nova Prime,Prick.
Denarian Saal,"Well, some good news. Looks like we’ve apprehended one of Ronan’s compatriots."
Corpsman Dey,"Gamora. Surgically modified and trained as a living weapon. The adopted daughter of the Mad Titan, Thanos. Recently, Thanos lent her and her sister Nebula out to Ronan, which leads us to believe that Thanos and Ronan are working together."
Corpsman Dey,Subject 89P13. Calls itself Rocket. The result of illegal genetic and cybernetic experiments on a lower life form.
Denarian Saal *referring to Groot*,What the hell.
Corpsman Dey,They call it Groot. A humanoid plant that’s been traveling recently as 89P13’s personal house plant slash muscle.
Corpsman Dey,"Peter Jason Quill, from Terra. Raised from youth by a band of mercenaries called the Ravagers, led by Yondu Udonta."
Peter Quill,"Oh, I’m sorry. I didn’t know how this machine worked."
Denarian Saal,What a bunch of a-holes. Transport all four to the Kyln.
Rocket,"I guess most of Nova Corps wanna uphold the laws, but these ones here, theyre corrupt and cruel. But, hey, thats not my problem. I aint gonna be here long. Ive escaped 22 prisons, this ones no different. Youre lucky the broad showed up, because otherwise, me and Groot would be collecting that bounty right now, and youd be getting drawn and quartered by Yondu and those Ravagers."
Peter Quill,Ive had a lot of folks try to kill me over the years. I aint about to be brought down by a tree and a talking raccoon.
Prison Guard,Hold.
Rocket,Whats a raccoon.
Peter Quill,"Whats a raccoon. Its what you are, stupid."
Rocket,"Aint no thing like me, cept me."
Peter Quill,"So, this orb has a real shiny blue suitcase, Ark of the Covenant, Maltese Falcon sort of vibe. What is it."
Groot,I am Groot.
Peter Quill,So what. Whats the Orb.
Gamora,I have no words for an honorless thief.
Rocket,"Pretty high and mighty coming from the lackey of a genocidal maniac. Yeah, I know who you are. Anyone whos anyone knows who you are."
Peter Quill,"Yeah, we know who you are. Who is she. Yeah, you said that."
Gamora,"I wasnt retrieving the orb for Ronan, I was betraying him. I had an agreement to sell it to a third party."
Groot,I am Groot.
Peter Quill,"Well, that’s just as fascinating as the first 89 times you told that. What is wrong with Giving Tree, here."
Rocket,"Well, he don’t know talking good like me and you. So his vocabulistics is limited to “I” and “am” and “Groot”. Exclusively in that order."
Peter Quill,"I tell you what, that’s gonna wear real thin, real fast."
Peter Quill,Hey. Put that away. Hey.
Peter Quill,"Listen to me you big blue bastard, take those headphones off, thats mine. Those belong to impound, that tape and that player is mine."
Peter Quill,"Hooked on a Feeling, Blue Swede, 1973, that song belongs to me."
Prisoner 1,- Murderer.
Prisoner 2,"Coming for you first, Gamora."
Prisoner 3,Youre dead.
Prisoner 4,Youre scum. Youre scum.
Rocket,"Its like I said, shes got a rep. A lot of prisoners here have lost their families to Ronan and his goons. Shell last a day, tops."
Prisoner 5,Murderer.
Peter Quill,"The guards will protect her, right."
Peter Quill,Theyre here to stop us from getting out. They dont care what we do to each other inside.
Gamora,"Whatever nightmares the future holds, are dreams compared to whats behind me."
Prisoner 6,"Check out the new meat. Im gonna slather you up in Gunavian jelly, and go to town."
Rocket,"Lets make something clear. This one here is our booty. You wanna get to him, you go through us. Or, more accurately, we go through you."
Peter Quill,Im with them.
Prisoner 7,I hate you.
Prisoner 8,No cells gonna protect you for long.
Prisoner 9,Youre dead. Dead.
Prisoner 10,Take her down to the showers. Itll be easier to clean up the blood down there.
Rocket,"Quill, where you going. Quill. Quill."
Prisoner 5,"Gamora, consider this a death sentence for your crimes against the galaxy."
Drax,"You dare. You know who I am, yes."
Prisoner 5,Youre Drax. The Destroyer.
Rocket,Quill.
Drax,And you know why they call me this.
Prisoner 5,You slayed dozens of Ronans minions.
Drax,"Ronan murdered my wife, Ovette, and my daughter, Camaria. He slaughtered them where they stood. And he laughed."
Rocket,Quill.
Drax,Her life is not yours to take. He killed my family. I shall kill one of his in return.
Prisoner 5,"Of course, Drax. Here, I."
Rocket,Quill. What are you doing.
Gamora,Im no family to Ronan or Thanos. Im your only hope at stopping him.
Drax,"Woman, your words mean nothing to me."
Peter Quill,"Hey. Hey, hey, hey. Hey."
Rocket,Crap.
Peter Quill,"You know, if killing Ronan is truly your sole purpose, I dont think this is the best way to go about it."
Drax,Are you not the man this wench attempted to kill.
Peter Quill,"Well, I mean, shes hardly the first woman to try and do that to me. Look, this is from a smoking-hot Rajak girl. Stabbed me with a fork. Didnt like me skipping out on her at sunrise. I got, right here, a Kree girl tried to rip out my thorax. She caught me with this skinny little Aaskavariian who worked in Nova Records. I was trying to get information. You ever see an Aaskavariian. They have tentacles, and needles for teeth. If you think Im seriously interested in that, then. You dont care. But heres the point. She betrayed Ronan. Hes coming back for her. And when he does, thats when you."
Drax,Why would I put my finger on his throat.
Peter Quill,"What. No, its a symbol. This is a symbol for you slicing his throat."
Drax,I would not slice his throat. I would cut his head clean off.
Peter Quill,"Its a general expression for you killing somebody. Youve heard of this. Youve seen this, right. You know what that is."
Prisoner 5,Yeah. Yeah.
Peter Quill,Everyone knows.
Prisoner 5,"No, no."
Peter Quill,"What Im saying is, you want to keep her alive. Dont do his work for him."
Drax,I like your knife. Im keeping it.
Prisoner 5,That was my favorite knife.
Peter Quill,Listen. I could care less whether you live or whether you die.
Gamora,Then why stop the big guy.
Peter Quill,Simple. You know where to sell my Orb.
Gamora,How are we gonna sell it when we and it are still here.
Peter Quill,"My friend Rocket, here, has escaped 22 prisons."
Rocket,"Oh, were getting out. And then were headed straight to Yondu to retrieve your bounty."
Peter Quill,How much was your buyer willing to pay you for my Orb.
Gamora,Four billion units.
Rocket,What.
Peter Quill,Holy shit.
Gamora,"That Orb is my opportunity to get away from Thanos and Ronan. If you free us, Ill lead you to the buyer directly and Ill split the profit between the three of us."
Groot,I am Groot.
Rocket,"Four of us. Asleep for the danger, awake for the money, as per frickin usual."
The Other,"You have been betrayed, Ronan."
Ronan the Accuser,We know only that she has been captured. Gamora may yet recover the Orb.
The Other,No. Our sources within the Kyln say Gamora has her own plans for the Orb. Your partnership with Thanos is at risk.
The Other,Thanos requires your presence. NOW.
Ronan the Accuser,"With all due respect, Thanos, your daughter made this mess, and yet you summon me."
The Other,"I would lower my voice, Accuser."
Ronan the Accuser,"First, she lost a battle with some primitive."
The Other,Thanos put Gamora under your charge.
Ronan the Accuser,Then she was apprehended by the Nova Corps.
The Other,You are the one here with nothing to show for it.
Ronan the Accuser,Your sources say that she meant to betray us the whole time.
The Other,LOWER YOUR TONE. I MAY BE YOUR-
Ronan the Accuser,I only ask that you take this matter seriously.
Thanos,"The only matter I did not take seriously, boy."
Thanos,.is you.
Thanos,Your politics bore me.
Thanos,Your demeanor is that of a pouty child.
Thanos,"And, apparently.you alienated my favorite daughter, Gamora."
Thanos,"I shall honor our agreement, Kree."
Thanos,If you bring me the Orb.
Thanos *off-screen*,But return to me again empty-handed.
Thanos,.and I will bathe the starways in your blood.
Nebula,"Thanks, dad.sounds fair."
Nebula,This is one fight you wont win.
Nebula,Lets head to the Klyn.
Rocket,"If were gonna get out of here, were gonna need to get into that watchtower. And to do that, Im gonna need a few things. The guards wear security bands to control their ins and outs. I need one."
Gamora,Leave it to me.
Rocket,"That dude, there. I need his prosthetic leg."
Peter Quill,His leg.
Rocket,"Yeah. God knows I dont need the rest of him. Look at him, hes useless."
Peter Quill,All right.
Rocket,"And finally, on the wall back there is a black panel. Blinky yellow light. Do you see it."
Peter Quill,Yeah.
Rocket,"Theres a quarnyx battery behind it. Purplish box, green wires. To get into that watchtower, I definitely need it."
Gamora,How are we supposed to do that.
Rocket,"Well, supposably, these bald-bodies find you attractive. So, maybe you can work out some sort of trade."
Gamora,You must be joking.
Rocket,"No, I really heard they find you attractive."
Peter Quill,"Look, its 20 feet up in the air, and its in the middle of the most heavily-guarded part of the prison. Its impossible to get up there without being seen."
Rocket,"I got one plan, and that plan requires a frickin quarnyx battery, so figure it out. Can I get back to it. Thanks. Now, this is important. Once the battery is removed, everything is gonna slam into emergency mode. Once we have it, we gotta move quickly, so you definitely need to get that last. Or we could just get it first and improvise."
Gamora,Ill get the armband.
Peter Quill,Leg.
Guard 1,"Prisoner, drop the device immediately and retreat to your cell, or we will open fire."
Groot,I am Groot.
Guard 1,Fire.
Guard 1,All prisoners return to your sleeping areas.
Rocket,You idiot. How am I supposed to fight these things without my stuff.
Guard 2,The animal is in control. Fire on my command.
Drax,Creepy little beast.
Rocket,"Oh, yeah."
Man,You need my what.
Gamora,Ill need this.
Guard 3,Good luck. Its internally wired.
Gamora,Ill figure something out.
Guard 4,Drop the leg. Drop the leg and move back to your cell.
Gamora,Rocket.
"Rocket, to Groot",Move to the watchtower.
Drax,You. Man who has lain with an Aaskavariian.
Peter Quill,"It was one time, man."
Guard 1,We need all available guards in full combat gear.
Drax,"Spare me your foul gaze, woman."
Gamora,Why is this one here.
Peter Quill,"We promised him he could stay by your side until he kills your boss. I always keep my promises, when theyre to muscle-bound whack-jobs who will kill me if I dont. Here you go."
Rocket,"Oh, I was just kidding about the leg. I just need these two things."
Peter Quill,What.
"Rocket, while giggling","No, I thought itd be funny. Was it funny. Wait, what did he look like hopping around."
Peter Quill,"I had to transfer him 30,000 units."
Drax,How are we going to leave.
Peter Quill,"Well, hes got a plan. Right. Or is that another thing you made up."
Rocket,I have a plan. I have a plan.
Drax,Cease your yammering and relieve us from this irksome confinement.
Peter Quill,"Yeah, Ill have to agree with the walking thesaurus on that one."
Drax,Do not ever call me a thesaurus.
Peter Quill,"Its just a metaphor, dude."
Rocket,"His people are completely literal, metaphors are gonna go over his head."
Drax,Nothing goes over my head. My reflexes are too fast. I would catch it.
Gamora,Im gonna die surrounded by the biggest idiots in the galaxy.
Peter Quill,Those are some big guns.
Head Riot Guard,On my command. Number one.
Gamora,"Rodent, we are ready for your plan."
Rocket,Hold on.
Head Riot Guard,Number two.
Drax,I recognize this animal. Wed roast them over a flame pit as children. Their flesh was quite delicious.
Rocket,Not helping.
Head Riot Guard,Number three. All fire on my command. Three. Two. One.
Gamora,"You turned off the artificial gravity, everywhere but in here."
Rocket,I told you I had a plan.
Peter Quill,"That was a pretty good plan. Yeah. There it is. Get my ship. Its the Milano, the orange and blue one over in the corner."
Rocket,They crumpled my pants up into a ball. Thats rude. They folded yours.
Gamora,The orbs there. Lets go.
Peter Quill,"Wait, wait, wait."
Gamora,What.
Peter Quill,That bastard didnt put it back.
Gamora,Put what back.
Peter Quill,"Here. Get them to the ship, I will be right back."
Gamora,How are you gonna possibly.
Peter Quill,Just keep the Milano close by. Go. Go.
Prison Guard,Ow. My neck.
Rocket,"Well, hows he gonna get to us."
Gamora,He declined to share that information with me.
Rocket,"Well, screw this, then. I aint waiting around for some humie with a death wish. You got the orb, right."
Gamora,Yes.
Rocket,"If we dont leave now, we will be blown to bits."
Gamora,No. Were not leaving without the orb.
Drax,"Behold. This one shows spirit. He shall make a keen ally in the battle against Ronan. Companion, what were you retrieving. Youre an imbecile."
Peter Quill,"Woh, woh, woh. Yoh, Ranger Rick. What are you doing. You cant take apart my ship without asking me. See, what is this."
Rocket,"Dont touch that, its a bomb."
Peter Quill,A bomb.
Rocket,Yep.
Peter Quill,And you leave it lying around.
Rocket,I was gonna put it in a box.
Peter Quill,Whats a box gonna do.
Rocket,How about this one.
Peter Quill,No. Woh. Hey. Hey. Leave it alone.
Rocket,Why. What is it.
Peter Quill,Shut up.
Rocket,Hey.
Peter Quill,What is that.
Rocket,Thats for if things get really hardcore. Or if you wanna blow up moons.
Gamora,No ones blowing up moons.
Rocket,You just wanna suck the joy out of everything.
Peter Quill,"So, listen, Im gonna need your buyers coordinates."
Gamora,"Were heading in the right direction, for now."
Peter Quill,"If were gonna work together, you might want to try trusting me a little bit."
Gamora,And how much do you trust me.
Peter Quill,Id trust you a lot more if you told me what this was. Because Im guessing its some kind of weapon.
Gamora,I dont know what it is.
Drax,"If its a weapon, we should use it against Ronan."
Gamora,"Put it down, you fool. Youll destroy us all."
Drax,"Or just you, murderess."
Gamora,"I let you live once, princess."
Drax,I am not a princess.
Peter Quill,Hey. Nobody is killing anybody on my ship. Were stuck together until we get the money.
Drax,I have no interest in money.
Peter Quill,Great. That means more money for the three of us. For the four of us. Partners.
Gamora,"We have an agreement, but I would never be partners with the likes of you. Ill tell the buyer were on our way. And Quill, your ship is filthy."
Peter Quill,"Oh, she has no idea. If I had a black light, the place would look like a Jackson Pollock painting."
Rocket,"You got issues, Quill."
Head Riot Guard,"I swear, I dont know where they went. I swear."
Nebula,"If he knew where they were headed, hed have already told us."
Head Riot Guard,Yeah.
Nebula,"Ronan, the Nova Corps sent a fleet to defend the prison. Well, then, send Necrocraft to every corner of the quadrant. Find the orb. Any means, any price."
Nebula,And this place.
Ronan,The Nova cant know what were after. Cleanse it.
Yondu Udonta,Do you got any other cute little buggers like this one. I like to stick em all in a row on my control console.
The Broker,I cant tell if youre joking or not.
Kraglin,Hes being fully serious.
The Broker,"In that case, I can show you."
Yondu Udonta,"But first, you gonna tell me what this orb is, and why everybody cares so damn much about it. And then you gonna tell me, who out there might wanna buy it."
The Broker,"Sir, the high-end community is a. The high-end community is a. Its a tight-knit. Tight-knit. The high-end community is a very tight-knit. I cannot possibly betray the confidentiality of my buyers."
Yondu Udonta,"Now, who again is this buyer of yours."
The Collector,Carina.
Carina,"Yes, Master."
The Collector,"Your people do have elbows, do they not."
Carina,"We do, Master."
The Collector,"Then use them. I dont have to remind you what happened to the last attendant who disappointed me. Do I. Chop, chop. Our guests will be here soon."
Rocket,Heads up. Were inbound.
Peter Quill,Woh.
Drax,What is it.
Gamora,"Its called Knowhere. The severed head of an ancient celestial being. Be wary headed in, rodent. There are no regulations whatsoever here. Hundreds of years ago, the Tivan Group sent workers in to mine the organic matter within the skull. The bone, brain tissue, spinal fluid. All rare resources, highly valued in black markets across the galaxy. Its dangerous and illegal work, suitable only for outlaws."
Peter Quill,"Well, I come from a planet of outlaws. Billy the Kid, Bonnie and Clyde and John Stamos."
Drax,It sounds like a place which I would like to visit.
Peter Quill,"Yeah, you should."
Knowhere Kid,Excuse me.
Peter Quill,Watch your wallets.
Knowhere Kid,Can you spare any units.
Rocket,Get out of here. Your buyers in there.
Gamora,We are to wait here for his representative.
Bar Bouncer,Get out of here.
Drax,This is no respectable establishment. What do you expect us to do while we wait. Yes. Yes.
Rocket,Yahoo.
Drax,"My Orloni has won, as I win at all things. Now, lets put more of this liquid into our bodies."
Rocket,Thats the first thing you said that wasnt bat-shit crazy.
Peter Quill,"Man, you wouldnt believe what they charge for fuel out here. I might actually lose money on this job."
Gamora,My connection is making us wait.
Peter Quill,"Its just a negotiation tactic. Trust me, this is my specialty. Where yours is more, Stab, stab. Those are my terms."
Gamora,My father didnt stress diplomacy.
Peter Quill,Thanos.
Gamora,"Hes not my father. When Thanos took my home world, he killed my parents in front of me. He tortured me, turned me into a weapon. When he said he was going to destroy an entire planet for Ronan, I.I couldnt stand by and. Why would you risk your life for this."
Peter Quill,"My mother gave it to me. My mom liked to share with me all the pop songs that she loved growing up. I happened to have it on me when I was.the day that she. You know, when I left Earth."
Gamora,What do you do with it.
Peter Quill,Do. Nothing. You listen to it. Or you can dance.
Gamora,Im a warrior and an assassin. I do not dance.
Peter Quill,"Really. Well, on my planet, theres a legend about people like you. Its called Footloose. And in it, a great hero named Kevin Bacon, teaches an entire city full of people with sticks up their butts that dancing, well.its the greatest thing there is."
Gamora,Who put the sticks up their butts.
Peter Quill,"What. No, thats just a."
Gamora,That is cruel.
Peter Quill,Its just a phrase people use.
Gamora,The melody is pleasant. No.
Peter Quill,Ow. What the hell.
Gamora,"I know who you are, Peter Quill. And I am not some starry-eyed waif here to succumb to your.your pelvic sorcery."
Peter Quill,"That is not what is happening here. Oh, no."
Gamora,Stop it.
Peter Quill,Woh. Woh. What are you doing.
Drax,This vermin speaks of affairs he knows nothing about.
Rocket,That is true.
Drax,He has no respect.
Rocket,That is also true.
Peter Quill,Hold on. Hold on.
Rocket,"Keep calling me vermin, tough guy. You just wanna laugh at me like everyone else."
Peter Quill,"Rocket, youre drunk. Alright. No ones laughing at you."
Rocket,"He thinks Im some stupid thing. He does. Well, I didnt ask to get made. I didnt ask to be torn apart, and put back together, over and over and turned into some.some little monster."
Peter Quill,"Rocket, no ones calling you a monster."
Rocket,He called me vermin. She called me rodent. Lets see if you can laugh after five or six good shots to your frickin face.
Peter Quill,"No, no, no, no. Four billion units. Rocket. Come on, man. Hey. Suck it up for one more lousy night and youre rich."
Rocket,Fine. But I cant promise when all this is over Im not gonna kill every last one of you jerks.
Peter Quill,"See. Thats exactly why none of you have any friends. Five seconds after you meet somebody, youre already trying to kill them."
Drax,"We have traveled halfway across the quadrant, and Ronan is no closer to being dead."
Peter Quill,Drax.
Gamora,Let him go. We dont need him.
Carina,"Milady Gamora, Im here to fetch you for my master."
Rocket,"Okay, this isnt creepy at all."
Carina,"We house the galaxys largest collection of fauna, relics, and species of all manner. I present to you, Taneleer Tivan, the Collector."
The Collector,"Oh, my dear Gamora. How wonderful to meet in the flesh."
Gamora,"Lets bypass the formalities, Tivan. We have what we discussed."
The Collector,What is that thing there.
Groot,I am Groot.
The Collector,"I never thought Id meet a Groot. Sir, you must allow me to pay you now so that I may own your carcass. At the moment of your death, of course."
Groot,I am Groot.
Rocket,"Why, so he could turn you into a frickin chair."
The Collector,Thats your pet.
Rocket,His what.
Gamora,"Tivan, we have been halfway around the galaxy, retrieving this orb."
The Collector,"Very well, then. Let us see what you brought."
Knowhere Civilian,"Three quarnyx batteries, seven cases of cotati seeds. No, cases. Last time, you sent me."
Drax,You shall send a message for me.
The Collector,"Oh, my new friends. Before creation itself, there were six singularities. Then the universe exploded into existence, and the remnants of these systems were forged into concentrated ingots. Infinity Stones. These stones, it seems, can only be brandished by beings of extraordinary strength. Observe. These carriers can use the stone to mow down entire civilizations like wheat in a field."
Peter Quill,Theres a little pee coming out of me right now.
The Collector,"Once, for a moment, a group was able to share the energy amongst themselves, but even they were quickly destroyed by it. Beautiful. Beyond compare."
Rocket,"Blah, blah, blah. Were all very fascinated, whitey. But wed like to get paid."
The Collector,How would you like to get paid.
Rocket,"What do you think, fancy man. Units."
The Collector,"Very well, then. Carina. Stand back."
Carina,I will no longer be your slave.
The Collector,No.
Peter Quill,What the fff.
Gamora,How could I think Tivan could contain whatever was within the orb.
Rocket,What do you still have it for.
Peter Quill,"Well what are we gonna do, leave it in there."
Rocket,I cant believe you had that in your purse.
Peter Quill,"Its not a purse, its a knapsack."
Gamora,We have to bring this to the Nova Corps. Theres a chance they can contain it.
Rocket,Are you kidding me. Were wanted by the Nova Corps. Just give it to Ronan.
Peter Quill,So he can destroy the galaxy.
Rocket,"What are you, some Saint all of a sudden. What has the galaxy ever done for you. Why would you wanna save it."
Peter Quill,Because Im one of the idiots who lives in it.
Gamora,"Peter, listen to me. We cannot allow the stone to fall into Ronans hands. We have to go back to your ship and deliver it to Nova."
Peter Quill,"Right, right, okay. I think youre right. Or we could give it to somebody whos not going to arrest us, whos really nice for a whole lot of money. I think its a really good balance between both of your points of view."
Gamora,Youre despicable.
Peter Quill,I.
Gamora,"Dishonorable. Faithless. Oh, no."
Drax,At last. Ha-ha-ha. I shall meet my foe and destroy him.
Peter Quill,You called Ronan.
Yondu,"QUILL. Dont you move, boy."
Drax,Ronan the Accuser.
Ronan,You are the one who transmitted the message.
Drax,You killed my wife. You killed my daughter.
Rocket,"I told you, you cant fit. Now, wait here. Ill be back."
Nebula,It is Gamora. She is escaping with the orb.
Drax,No.
Ronan,"Nebula, retrieve the orb."
Nebula,The stone is in the furthest pod. Bring it down.
Peter Quill,"Rocket, keep them off Gamora until she gets to the Milano."
Rocket,How. Weve got no weaponry on these things.
Peter Quill,"These pods are industrial grade, theyre nearly indestructible."
Rocket,"Not against Necroblasts, theyre not."
Peter Quill,Thats not what Im saying.
Rocket,Oh.
Peter Quill,Let me borrow your ride.
Ronan,"I dont recall killing your family. I doubt Ill remember killing you, either."
Gamora,"Quill, Im trapped. I cant make it to the Milano, I have to head out."
Peter Quill,What. Wait. These things arent meant to go out there.
Nebula,"You are a disappointment, sister. Of all our siblings, I hated you least."
Gamora,"Nebula, please. If Ronan gets this stone hell kill us all."
Nebula,Not all. You will already be dead.
Nebula,"Ronan, it is done."
Rocket,"Quill, come on. Her body mods should keep her alive a couple more minutes, but theres nothing we can do for her. These pods arent meant to be out here. In a second, were gonna be in the same boat."
Peter Quill,"Aw, damn it."
Rocket,Quill.
Peter Quill,Yondu. Yondu. This is Quill. My coordinates are 2-2-7-K-3-2-4.
Rocket,"Quill. Quill, what are you doing."
Peter Quill,"Just outside Knowhere. If youre there, come get me. Im all yours."
Rocket,"Quill, dont be ridiculous. Get back into your pod. You cant fit two people in there, youre gonna die. Youll die in seconds. Quill."
Gamora,Quill. What happened.
