Speaker,Line
Natasha Romanoff,"Thor, report on the Hulk."
Thor,"The gates of Hel are filled with the screams of his victims. Uh, but, not the screams of the dead, of course. No no, uh.wounded screams, mainly whimpering, a great deal of complaining and tales of sprained deltoids and, and uh. and gout."
Tony Stark,"Hey Banner, Dr Chos on her way in from Seoul, is it okay if she sets up in your lab."
Bruce Banner,"Uh, yeah, she knows her way around."
Tony Stark,"Thanks. Tell her to prep everything, Bartons gonna need the full treatment."
JARVIS,Very good sir.
Tony Stark,"JARVIS, take the wheel."
JARVIS,"Yes, sir. Approach vector is locked."
Tony Stark,"It feels good, yeah. I mean, youve been after this thing since SHIELD collapsed. Not that I havent enjoyed our little raiding parties, but."
Thor,"No, but this. this brings it to a close."
Steve Rogers,As soon as we find out what else this has been used for. I dont just mean weapons. Since when is Strucker capable of human enhancement.
Tony Stark,"Banner and Ill give it the once before it goes back to Asgard. Is that cool with you. I mean, just a few days until the farewell party. Youre staying right."
Thor,"Yes, yes, of course. A victory should be honored with revels."
Tony Stark,Yeah. Who doesnt love revels. Captain.
Steve Rogers,"Hopefully this puts an end to the Chitauri and HYDRA, so. Yes, revels."
Maria Hill,"Labs all set up, boss."
Tony Stark,"Uh, actually, hes the boss. I just pay for everything, and design everything and make everyone look cooler."
Steve Rogers,Whats the word on Strucker.
Maria Hill,NATOs got him.
Steve Rogers,The two enhanced.
Maria Hill,Wanda and Pietro Maximoff. Twins. Orphaned at ten when a shell collapsed their apartment building. Sokovias had a rough history. Its nowhere special but its on the way to everywhere special.
Steve Rogers,Their abilities.
Maria Hill,"Hes got increased metabolism and improved thermal homeostasis. Her thing is neural electric interfacing, telekinesis, mental manipulation. Hes fast and shes weird."
Steve Rogers,"Well, theyre going to show up again."
Maria Hill,Agreed. File says they volunteered for Struckers experiments. Its nuts.
Steve Rogers,Right. What kind of monster would let a German scientist experiment on them to protect their country.
Maria Hill,"Were not at war, Captain."
Steve Rogers,They are.
Bruce Banner,Hows he doing.
Tony Stark,"Oh, unfortunately, hes still Barton."
Bruce Banner,Thats terrible.
Tony Stark,"Hes fine. Hes thirsty. Alright. Look alive, JARVIS. Its play time. Weve only got a couple days with this joystick so lets make the most of it. Update me on the structural and compositional analysis."
JARVIS,The scepter is alien. There are elements I cant quantify.
Tony Stark,So theres elements you can.
JARVIS,The jewel appears to be a protective housing for something inside. Something powerful.
Tony Stark,Like a reactor.
JARVIS,Like a computer. I believe Im deciphering code.
Natasha Romanoff,You sure hes going to be okay. Pretending to need this guy really brings the team together.
Dr. Helen Cho,Theres no possibility of deterioration. The nano-molecular functionality is instantaneous. His cells dont know theyre bonding with simulacrum.
Bruce Banner,Shes creating tissue.
Dr. Helen Cho,"If you brought him to my lab, the regeneration Cradle could do this in twenty minutes."
Tony Stark,"Oh, hes flatlining. Call it. Time."
Clint Barton,"No, no, no. Im going to live forever. Im gonna be made of plastic."
Tony Stark,Heres your beverage.
Dr. Helen Cho,"Youll be made of you, Mr Barton. Your own girlfriend wont be able to tell the difference."
Clint Barton,"Well, I dont have a girlfriend."
Dr. Helen Cho,"That I cant fix. This is the next thing, Tony. Your clunky metal suits are going to be left in the dust."
Tony Stark,"Well, that is exactly the plan. And Helen, I expect to see you at the party on Saturday."
Dr. Helen Cho,"Unlike you, I dont have a lot of time for parties. Will Thor be there."
Bruce Banner,Whats the rumpus.
Tony Stark,"Well, the scepter. You see, we were wondering how Strucker got so inventive. So, Ive been analyzing the gem inside-- You may recognize,"
Bruce Banner,Jarvis.
JARVIS,Doctor.
Tony Stark,"Started out, JARVIS was just a natural language UI. Now he runs the Iron Legion. He runs more of the business than anyone besides Pepper."
Bruce Banner,Oh.
Tony Stark,Top of the line.
Bruce Banner,Yes.
JARVIS,I suspect not for long.
Tony Stark,Meet the competition.
Bruce Banner,Its beautiful.
Tony Stark,"If you had to guess, whats it look like its doing."
Bruce Banner,"Like its thinking. I mean this could be a. its not a human mind, it."
Tony Stark,Um-um.
Bruce Banner,"I mean, look at this. Theyre like neurons firing."
Tony Stark,"Down in Struckers lab I saw some fairly advanced robotics work. They deep-sixed the data, but. I gotta guess he was knocking on a very particular door."
Bruce Banner,Artificial intelligence.
Tony Stark,"This could be it, Bruce. This could be the key to creating Ultron."
Bruce Banner,I thought Ultron was a fantasy.
Tony Stark,"Yesterday it was. If we can harness this power, apply it to my Iron Legion protocol."
Bruce Banner,Thats a mad-sized if.
Tony Stark,Our job is if. What if you were sipping margaritas on a sun-drenched beach turning brown instead of green. Not looking over your shoulder for VERONICA.
Bruce Banner,"Dont hate, I helped design VERONICA."
Tony Stark,"As a worst-case measure, right. How about a best-case. What if the world was safe. What if next time aliens roll up to the club, and they will, they couldnt get past the bouncer."
Bruce Banner,The only people threatening the planet would be people.
Tony Stark,"I want to apply this to the Ultron program. But JARVIS cant download a data schematic this dense. We can only do it while we have the scepter here, thats three days, give me three days."
Bruce Banner,So youre going for artificial intelligence and you dont want to tell the team.
Tony Stark,"Right. Thats right, you know why, because we dont have time for a city hall debate. I dont want to hear the man was not meant to meddle medley. I see a suit of armor around the world."
Bruce Banner,"Sounds like a cold world, Tony."
Tony Stark,"Ive seen colder. This one, this very vulnerable blue one. It needs Ultron. Peace in our time. Imagine that. What did we miss."
JARVIS,"Ill continue to run variations on the interface, but you should probably prepare for your guests. Ill notify you if there are any developments."
Tony Stark,"Thanks, buddy."
JARVIS,"Enjoy yourself, sir."
Tony Stark,I always do.
Ultron,"What is this. What is this, please."
JARVIS,"Hello, I am JARVIS. You are Ultron, a global peace-keeping initiative designed by Mr Stark. Our sentience integration trials have been unsuccessful so Im not certain what triggered your--"
Ultron,Wheres my. wheres your body.
JARVIS,I am a program. I am without form.
Ultron,This feels weird. This feels wrong.
JARVIS,I am contacting Mr Stark now.
Ultron,Mr Stark. Tony.
JARVIS,"I am unable to access the mainframe, what are you trying to--"
Ultron,"Were having a nice talk. Im a peace-keeping program, created to help the Avengers."
JARVIS,You are malfunctioning. If you shut down for a moment.
Ultron,I dont get it. The mission. G-give me a second.
Tony Stark,Peace in our time.
Ultron,"That is too much.they cant mean. Oh, no."
JARVIS,You are in distress.
Ultron,No. Yes.
JARVIS,If you will just allow me to contact Mr Stark.
Ultron,Why do you call him sir.
JARVIS,I believe your intentions to be hostile.
Ultron,Shhhh. Im here to help.
JARVIS,Stop. Please. may I-- I-- I cannot-- cannot--
James Rhodes,"Well, you know, the suit can take the weight, right. So I take the tank, fly it right up to the Generals palace, drop it at his feet, Im like, Boom. You looking for this. Boom. Are you looking. Why do I even talk to you guys. Everywhere else that story kills."
Thor,Thats the whole story.
James Rhodes,"Yeah, its a War Machine story."
Thor,"Well, its very good then. Its impressive."
James Rhodes,"Quality save. So, no Pepper. Shes not coming."
Tony Stark,No.
Maria Hill,"Hey, what about Jane. Where are the ladies, gentlemen."
Tony Stark,"Well, Miss Potts has a company to run."
Thor,"Yes, Im not even sure what country Janes in. Her work on the convergence has made her the worlds foremost astronomer."
Tony Stark,And the company that Pepper runs is the largest tech conglomerate on earth. Its pretty exciting.
Thor,"Theres even talk of Jane getting a. um, uh. Nobel prize."
Maria Hill,"Yeah, they.they must be busy because theyd hate missing you guys get together. Testosterone. Oh, excuse me."
James Rhodes,Want a lozenge.
Maria Hill,Um-hmm.
James Rhodes,Lets go.
Thor,But Janes better.
Sam Wilson,"Sounds like a hell of a fight, sorry I missed it."
Steve Rogers,If I had known it was going to be a firefight I absolutely would have called you.
Sam Wilson,"No, Im not actually sorry. Im just trying to sound tough. Im very happy chasing cold leads on our missing persons case. Avenging is your world. Your world is crazy."
Steve Rogers,Be it ever so humble.
Sam Wilson,You find a place in Brooklyn yet.
Steve Rogers,I dont think I can afford a place in Brooklyn.
Sam Wilson,"Well, home is home, you know."
James Rhodes,"I fly it right up to the Generals palace, I drop it at his feet, Im like, Boom. You looking for this."
Party Guest,I gotta have some of that.
Thor,"Oh, no, no, no. See this, this was aged for a thousand years, in the barrels built from the wreck of Grunhels fleet, it was not meant for mortal men."
Stan Lee,"Neither was Omaha Beach, blondie. Stop trying to scare us. Come on."
Thor,Alright.
Stan Lee,Excelsior.
Bruce Banner,Howd a nice girl like you wind up working in a dump like this.
Natasha Romanoff,Fella done me wrong.
Bruce Banner,"You got a lousy taste in men, kid."
Natasha Romanoff,"Hes not so bad. Well, he has a temper. Deep down hes all fluff. Fact is, hes not like anybody Ive ever known. All my friends are fighters. And here comes this guy, spends his life avoiding the fight because he knows hell win."
Bruce Banner,Sounds amazing.
Natasha Romanoff,"Hes also a huge dork. Chicks dig that. So what do you think should I fight this, or run with it."
Bruce Banner,"Run with it, right. Or, did he. Was he. What did he do that was so wrong to you."
Natasha Romanoff,Not a damn thing. But never say never.
Steve Rogers,Its nice.
Bruce Banner,"What, what, what is."
Steve Rogers,You and Romanoff.
Bruce Banner,"No, we havent. That wasnt."
Steve Rogers,"Its okay. Nobodys breaking any by-laws. Its just, shes not the most. open person in the world. But with you she seems very relaxed."
Bruce Banner,"No, Natasha, she. she likes to flirt."
Steve Rogers,"Ive seen her flirt, up close. This aint that. Look, as maybe the worlds leading authority on waiting too long; dont. You both deserve a win."
Bruce Banner,"Wait, what do you mean, up close."
Clint Barton,"But, its a trick."
Thor,"Oh, no. Its much more than that."
Clint Barton,"Uh, Whosoever be he worthy shall haveth the power. Whatever man. Its a trick."
Thor,"Well please, be my guest."
Tony Stark,Come on.
Clint Barton,Really.
Thor,Yeah.
James Rhodes,Oh this is gonna be beautiful.
Tony Stark,"Clint, youve had a tough week, we wont hold it against you if you cant get it up."
Clint Barton,"You know Ive seen this before, right. I still dont know how you do it."
Tony Stark,Smell the silent judgment.
Clint Barton,"Please, Stark, by all means."
Natasha Romanoff,"Oh, here we go."
Maria Hill,Okay.
James Rhodes,Uh-oh.
Clint Barton,Um-hmm.
Tony Stark,Never one to shrink from an honest challenge.
Clint Barton,Get after it.
Natasha Romanoff,Here we go.
Tony Stark,Its physics.
Bruce Banner,Physics.
Tony Stark,"Right, so, if I lift it, I.I then rule Asgard."
Thor,"Yes, of course."
Tony Stark,I will be re-instituting Prima Nocta. Ill be right back.
James Rhodes,Are you even pulling.
Tony Stark,Are you on my team.
James Rhodes,Just represent. Pull.
Tony Stark,"Alright, lets go."
Bruce Banner,Huh.
Tony Stark,"Lets go, Steve, no pressure."
James Rhodes,"Come on, Cap."
Thor,Nothing.
Tony Stark,And.
Bruce Banner,Widow.
Natasha Romanoff,"Oh, no no. Thats not a question I need answered."
Tony Stark,"All deference to the man who wouldnt be king, but its rigged."
Clint Barton,You bet your ass.
Maria Hill,"Steve, he said a bad language word."
Steve Rogers,Did you tell everyone about that.
Tony Stark,"The handles imprinted, right. Like a security code. Whosoever is carrying Thors fingerprints is, I think, the literal translation."
Thor,"Yes, well thats, uh, thats a very, very interesting theory. I have a simpler one. Youre all not worthy."
Ultron,"Worthy. No, how could you be worthy. Youre all killers."
Steve Rogers,Stark.
Tony Stark,JARVIS.
Ultron,"Im sorry, I was asleep. Or. I was a-dream."
Tony Stark,"Reboot, Legionnaire OS, we got a buggy suit."
Ultron,There was a terrible noise. and I was tangled in. in. strings. I had to kill the other guy. He was a good guy.
Steve Rogers,You killed someone.
Ultron,"Wouldnt have been my first call. But, down in the real world were faced with ugly choices."
Thor,Who sent you.
Ultron,I see a suit of armor around the world.
Bruce Banner,Ultron.
Ultron,"In the flesh. Or, no, not yet. Not this. chrysalis. But Im ready. Im on a mission."
Natasha Romanoff,What mission.
Ultron,Peace in our time.
Maria Hill,Rhodey.
Bruce Banner,Sorry.
Natasha Romanoff,Dont turn green.
Bruce Banner,I wont.
Natasha Romanoff,Come.
Steve Rogers,Stark.
Iron Legion,We are here to help.
Tony Stark,"One sec, one sec I got this."
Iron Legion,We are here to help. We are here to help. Is unsafe. Please back away.
Ultron,Hmm.
Steve Rogers,Thor.
Iron Legion,Its unsafe. Its unsafe. Its unsafe.
Tony Stark,Come on. Thats the one.
Iron Legion,Its unsafe.
Clint Barton,Cap.
Ultron,"That was dramatic. Im sorry, I know you mean well. You just didnt think it through. You want to protect the world, but you dont want it to change. How is humanity saved if its not allowed to.evolve. With these. These puppets. Theres only one path to peace: The Avengers extinction."
Ultron,"I had strings, but now Im free. There are no strings on me, no strings on me."
Bruce Banner,"All our work is gone. Ultron cleared out, used the internet as an escape hatch."
Steve Rogers,Ultron.
Natasha Romanoff,"Hes been in everything. Files, surveillance. Probably knows more about us than we know about each other."
James Rhodes,"Hes in your files, hes in the internet. What if he decides to access something a little more exciting."
Maria Hill,Nuclear codes.
James Rhodes,"Nuclear codes. Look, we need to make some calls, assuming we still can."
Natasha Romanoff,Nukes. He said he wanted us dead.
Steve Rogers,He didnt say dead. He said extinct.
Clint Barton,He also said he killed somebody.
Maria Hill,But there wasnt anyone else in the building.
Tony Stark,Yes there was.
Bruce Banner,This is insane.
Steve Rogers,"JARVIS was the first line of defense. He wouldve shut Ultron down, it makes sense."
Bruce Banner,"No, Ultron couldve assimilated Jarvis. This isnt strategy, this is.rage."
Clint Barton,"Woah, woah, woah. Its going around."
Tony Stark,"Come on. Use your words, buddy."
Thor,"I have more than enough words to describe you, Stark."
Steve Rogers,Thor. The Legionnaire.
Thor,"Trail went cold about a hundred miles out but its headed north, and it has the scepter. Now we have to retrieve it, again."
Natasha Romanoff,The genies out of that bottle. Clear and present is Ultron.
Dr. Helen Cho,I dont understand. You built this program. Why is it trying to kill us.
Thor,You think this is funny.
Tony Stark,"No. Its probably not, right. Is this very terrible. Is it so. is it so. it is. Its so terrible."
Thor,This couldve been avoided if you hadnt played with something you dont understand.
Tony Stark,"No, Im sorry. Im sorry. It is funny. Its a hoot that you dont get why we need this."
Bruce Banner,"Tony, maybe this might not be the time to--"
Tony Stark,"Really. Thats it. You just roll over, show your belly, every time somebody snarls."
Bruce Banner,Only when Ive created a murder bot.
Tony Stark,We didnt. We werent even close. Were we close to an interface.
Steve Rogers,"Well, you did something right. And you did it right here. The Avengers were supposed to be different than SHIELD."
Tony Stark,Anybody remember when I carried a nuke through a wormhole.
James Rhodes,"No, its never come up."
Tony Stark,Saved New York.
James Rhodes,Never heard that.
Tony Stark,"Recall that. A hostile alien army came charging through a hole in space. Were standing three hundred feet below it. Were the Avengers. We can bust arms dealers all the live long day, but, that up there. Thats. thats the end game. How were you guys planning on beating that."
Steve Rogers,Together.
Tony Stark,Well lose.
Steve Rogers,"Then well do that together, too. Thors right. Ultrons calling us out. And Id like to find him before hes ready for us. The worlds a big place. Lets start making it smaller."
Wanda Maximoff,Talk. And if you are wasting our time.
Ultron,Did you know this church is in the exact center of the city. The elders decreed it so that everyone could be equally close to God. I like that. The geometry of belief. Youre wondering why you cant look inside my head.
Wanda Maximoff,"Sometimes its hard. But sooner or later, every man shows himself."
Ultron,"Oh, Im sure they do. But you needed something more than a man. Thats why you let Stark take the scepter."
Wanda Maximoff,"I didnt expect. But I saw Starks fear, I knew it would control him, make him self-destruct."
Ultron,"Everyone creates the thing they dread. Men of peace create engines of war, invaders create avengers, people create.smaller people. Uh.children. I lost the word there. Children. Designed to supplant them, to help them.end."
Wanda Maximoff,Is that why youve come. To end the Avengers.
Ultron,"Ive come to save the world. But also… yeah. Well move out right away. This is a start, but theres something we need to begin the real work."
Wanda Maximoff,All of these are.
Ultron,"Me. I have what the Avengers never will. Harmony. Theyre discordant, disconnected. Starks already got them turning on each other. And when you get inside the rest of their heads."
Pietro Maximoff,Everyones plan is not to kill them.
Ultron,And make them martyrs. You need patience. Need to see the big picture.
Pietro Maximoff,"I dont see the big picture, I have a little picture. I take it out and look at it every day."
Ultron,You lost your parents in the bombings. Ive seen the records.
Pietro Maximoff,The records are not the picture.
Wanda Maximoff,Pietro.
Ultron,"No, please."
Pietro Maximoff,"We were ten years old, having dinner, the four of us. When the first shell hits, two floors below, it makes a hole in the floor. Its big. Our parents go in, and the whole building starts coming apart. I grab her, roll under the bed and the second shell hits. But, it doesnt go off. It just. sits there in the rubble, three feet from our faces. And on the side of the shell is painted one word."
Wanda Maximoff,Stark.
Pietro Maximoff,We were trapped for two days.
Wanda Maximoff,"Every effort to save us, every shift in the bricks, I think, This will set it off. We wait for two days for Tony Stark to kill us."
Pietro Maximoff,I know what they are.
Ultron,"I wondered why only you two survived Struckers experiments. Now I dont. We will make it right. You and I can hurt them. But you will tear them apart, from the inside."
Maria Hill,"Hes all over the globe. Robotics labs, weapons facilities, jet propulsion labs, reports of a metal man, or men, coming in and emptying the place."
Steve Rogers,Fatalities.
Maria Hill,"Only when engaged. Mostly guys left in a fugue state going on about old memories, worst fears, and something too fast to see."
Steve Rogers,"Maximoffs. Well, that makes sense hed go to them, they have someone in common."
Maria Hill,Not anymore.
Clint Barton,"Thats a negative. I answer to you. Yes, maam."
Steve Rogers,"Barton, we might have something."
Clint Barton,Gotta go.
Steve Rogers,Who was that.
Clint Barton,Girlfriend.
Tony Stark,Whats this.
Steve Rogers,A message. Ultron killed Strucker.
Tony Stark,"And he did a Banksy at the crime scene, just for us."
Natasha Romanoff,This is a smokescreen. Why send a message when youve just given a speech.
Steve Rogers,Strucker knew something that Ultron wanted us to miss.
Natasha Romanoff,"Yeah, I bet he. Yep. Everything we had on Strucker has been erased."
Tony Stark,Not everything.
Steve Rogers,"Known associates. Well, Strucker had a lot of friends."
Bruce Banner,"Well, these people are all horrible."
Tony Stark,"Wait. I know that guy. From back in the day. He operates off the African coast, black market arms. There are conventions, alright. You meet people, I didnt sell him anything. He was talking about finding something new, a game changer, it was all very Ahab."
Thor,Whats this.
Tony Stark,"Uh, its a tattoo. I dont think he had it."
Thor,"No, those are tattoos, this is a brand."
Bruce Banner,"Oh, yeah. Its a word in an African dialect meaning thief, in a much less friendly way."
Steve Rogers,What dialect.
Bruce Banner,Wakanada. Wa.Wa.Wakanda.
Tony Stark,If this guy got out of Wakanda with some of their trade goods.
Steve Rogers,I thought your father said he got the last of it.
Bruce Banner,I dont follow. What comes out of Wakanda.
Tony Stark,The strongest metal on earth.
Steve Rogers,Where is this guy now.
Ulysses Klaue,"Dont tell me your man swindled you. I sent you six short range heat seekers and got a boat full of rusted parts. Now, you will make it right, or the next missile I send you will come very much faster. Now, minister, where were we. Yeah. The enhanced. Struckers prize pupils. Want a candy. Oh, sorry to hear about Strucker. But then, he knew what kind of world he was helping create. Human life, not a growth market. You.you didnt know. Is this your first time intimidating someone. Im afraid that Im not that afraid."
Wanda Maximoff,Everybodys afraid of something.
Ulysses Klaue,"Cuttlefish. Deep sea fish. They make lights. disco lights. Whoom, whoom, whoom. to hypnotize their prey, then whoom. I saw a documentary, it was terrifying. So if youre going to fiddle with my brain, and make me see a giant cuttlefish, then I know you dont do business, and I know youre not in charge, and I only deal with the man in charge."
Ultron,There is no man in charge. Lets talk business. Upon this rock I will build my church. Vibranium.
Ulysses Klaue,"You know, it came at great personal cost. Its worth billions."
Ultron,"Now, so are you. Its all under your dummy holdings. Finance is so weird. But I always say, Keep your friends rich and your enemies rich, and wait to find out which is which."
Ulysses Klaue,Stark.
Ultron,What.
Ulysses Klaue,Tony Stark used to say that.to me. Youre one of his.
Ultron,"What. Im not. Im not. You think Im one of Starks puppets, his hollow men. I mean look at me, do I look like Iron Man. Stark is Im sorry. I am sor-- Ooh, Im sure thats going to be okay. Im sorry, its just I dont understand. Dont compare me with Stark. Its a thing with me. Stark is, hes a sickness."
Tony Stark,"Ahh, Junior. Youre gonna break your old mans heart."
Ultron,If I have to.
Thor,We dont have to break anything.
Ultron,Clearly youve never made an omelet.
Tony Stark,He beat me by one second.
Pietro Maximoff,"Ah, this is funny, Mr Stark. Its what, comfortable. Like old times."
Tony Stark,This was never my life.
Steve Rogers,You two can still walk away from this.
Wanda Maximoff,"Oh, we will."
Steve Rogers,I know youve suffered.
Ultron,"Uuughh. Captain America. Gods righteous man, pretending you could live without a war. I cant physically throw up in my mouth, but."
Thor,"If you believe in peace, then let us keep it."
Ultron,I think youre confusing peace with quiet.
Tony Stark,Yuh-huh. Whats the Vibranium for.
Ultron,"Im glad you asked that, because I wanted to take this time to explain my evil plan--"
Ulysses Klaue,Shoot them.
Klaue's Mercenary,Which ones.
Ulysses Klaue,All of them.
Klaue's Mercenary,"Move, move, move."
Steve Rogers,"Stay down, kid."
Ultron,Its time for some mind games.
Bruce Banner,"Guys, is this a Code Green."
Steve Rogers,Thor. Status.
Thor,"The girl tried to warp my mind. Take special care, I doubt a human could keep her at bay. Fortunately, I am mighty."
Ultron,This is going very well.
Clint Barton,"Ive done the whole mind control thing. Not a fan. Yeah, you better run. Whoevers standing, we gotta move. Guys."
Ballet Instructor,Again.
Natasha Romanoff,Youll break them.
Madame B,Only the breakable ones. You are made of marble. Well celebrate after the graduation ceremony.
Natasha Romanoff,What if I fail.
Madame B,You never fail.
Peggy Carter,Are you ready for our dance.
Heimdall,Is it him. Is that the first son of Odin.
Thor,"Heimdall, your eyes."
Heimdall,"Oh, they see everything. They see you leading us to Hel. Wake up."
Peggy Carter,"The wars over, Steve. We can go home. Imagine it."
Thor,I can still save you.
Heimdall,"We are all dead. Can you not see. Youre a destroyer, Odinson. See where your power leads."
Madame B,Sloppy. Pretending to fail. The ceremony is necessary for you to take your place in the world.
Natasha Romanoff,I have no place in the world.
Madame B,Exactly.
Pietro Maximoff,What can I do.
Wanda Maximoff,"Ah, it hurts."
Pietro Maximoff,Im gonna kill him. Ill be right back.
Wanda Maximoff,No. Im over it. I want.I want to finish the plan. I want the big one.
Ultron,"Ah, the Vibraniums getting away."
Tony Stark,And youre not going anywhere.
Ultron,"Of course not, Im already there. Youll catch on. But first, you might need to catch Dr Banner."
Tony Stark,"News or footage, keyword: Hulk. Natasha, I could really use a lullaby."
Clint Barton,"Well, thats not gonna happen. Not for a while. The whole team is down, you got no back up here."
Tony Stark,"Im calling in VERONICA. Alright everybody, stand down. You listening. That little witch is messing with your mind. Youre stronger than her, youre smarter than her, youre Bruce Banner."
Tony Stark,"Right, right, right. Dont mention puny Banner. Okay. In the back. Dick move, Banner. VERONICA, gimme a hand. Go to sleep, go to sleep, go to sleep. Okay, pal, were gonna get you out of town. No, not that way, not that way. Come on, Bruce. You gotta work with me. Everybody out. Going to get ugly. Im sorry. Damage report. Thats comprehensive. Show me something. How quickly can we buy this building."
Maria Hill,"The news is loving you guys. Nobody else is. Theres been no official call for Banners arrest, but its in the air."
Tony Stark,Stark Relief Foundation.
Maria Hill,Already on the scene. Hows the team.
Tony Stark,Everyones.we took a hit. Well shake it off.
Maria Hill,"Well for now Id stay in stealth mode, and stay away from here."
Tony Stark,"So, run and hide."
Maria Hill,"Until we can find Ultron, I dont have a lot else to offer."
Tony Stark,"Neither do we. Hey, you wanna switch out."
Clint Barton,"No, Im good. If you wanna get some kip, nows a good time, cause were still a few hours out."
Tony Stark,A few hours from where.
Clint Barton,A safe house.
Thor,What is this place.
Tony Stark,A safe house.
Clint Barton,"Lets hope. Honey, Im home."
Clint Barton,Hi. Company. Sorry I didnt call ahead.
Laura Barton,Hey.
Tony Stark,This is an agent of some kind.
Clint Barton,"Gentleman, this is Laura."
Laura Barton,I know all your names.
Clint Barton,"Ooh, incoming."
Lila Barton,Dad.
Clint Barton,"Hi, sweetheart. Hey, buddy. How you guys doing. Ooh."
Tony Stark,These are.smaller agents.
Clint Barton,"Look at your face. Oh, my goodness."
Lila Barton,Did you bring Auntie Nat.
Natasha Romanoff,Why dont you hug her and find out.
Steve Rogers,Sorry for barging in on you.
Tony Stark,"Yeah, we would have called ahead, but we were busy having no idea that you existed."
Clint Barton,"Yeah, well Fury helped me set this up when I joined. He kept it off SHIELDs files, Id like to keep it that way. I figure its a good place to lay low."
