Speaker,Line
Hope,"Yeah. So, while you were relaxing at home. we were building this. Its a tunnel. To the quantum realm. To my mom. We think she might still be down there. We just dont know where."
Scott,What.
Hope,If we can pinpoint my moms location. then the pod can take me down to get her.
Scott,You built all this and you dont even know if shes alive.
Hank,"Its called a hypothesis. Last night, we powered up the tunnel for the first time. It was overloaded and it shut down. But for a split second, the doorway to the quantum realm was opened."
Scott,And.
Hope,"And five minutes later, you called, talking about Mom."
Hank,"We think when you were down there, you may have entangled with her."
Scott,"Hank, I would never do that. I respect you too much."
Hank,"Quantum entanglement, Scott."
Hope,"We think she might have put some kind of a message in your head. Hopefully, a location. And opening the tunnel triggered it."
Scott,Your mom put a message in my head. Come on. Thats insane.
Hank,"No, Scott. Insane is going to Germany without telling us, and fighting the Avengers. Just tell me you werent lying about the suit you took. Tell me you really destroyed it."
Scott,"I did, I destroyed it, I swear."
Hank,I cant believe you destroyed my suit. That was my lifes work.
Scott,What was I supposed to do.
Hank,You were supposed to not take my suit.
Scott,"Im sorry, Hank. Im sorry I took the suit. Im sorry that I called last night. I dont remember seeing Janet down there. I wish that I did. I just had a dream about her playing hide-and-seek with a little girl."
Hope,What.
Scott,I had a dream. She was playing hide-and-seek with a little girl. Cassie and I do it all the time. Doesnt mean anything.
Hope,But was it Cassie in the dream.
Scott,No.
Hope,Where was she hiding.
Scott,What.
Hope,The little girl. Where was she hiding. Was it in a wardrobe.
Scott,"No, it was in a tall dresser."
Hank,You mean a wardrobe.
Scott,Is that what thats called.
Hope,What color was it.
Scott,Red.
Hope,Were there horses on it.
Scott,"Oh, boy."
Hope,Its where I hid every time that we played.
Scott,It doesnt sound like you really got the gist of the game.
Hope,Shes alive.
Hank,I knew it. I knew it.
Hope,We need to get that part.
Hank,Okay.
Hope,The sooner we get the tunnel working. the sooner we can get this message out of his head.
Hank,Does Burch have it.
Hope,Yeah. Lets go.
Scott,What part. Whos Burch. Wait. Whats happening.
Hope,We need a component to stop the tunnel from overloading again. I grabbed your clothes. You might want to change.
Scott,"Look, Id really like to help you. but if Im not at home when they come to take off my ankle monitor. then Im going away forever."
Hope,"Once we get the component and power up the tunnel. well get the message, and have you home by lunch. We have to hurry. The entanglement wont last."
Hank,You owe us.
Scott,"All right, fine. But can I just wait inside. Because Im not supposed to be out here."
Hank,Lets go.
Hope,We good.
Hank,Yeah.
Hope,Ill be right back.
Scott,Can I have one of these.
Hank,No.
Sonny Burch,Ah. Susan. Welcome to Oui.
Hope,Sonny.
Sonny Burch,"Oui is French for yes. As in yes to farm-to-table, yes to locally sourced. and yes to planet before profit."
Hope,"Well, lets hope it also means yes to Do you have the component I ordered."
Sonny Burch,"You know, I have always loved your sense of humor, Susan. Have a seat."
Hope,"No, Im good. Thank you."
Scott,Who is this guy.
Hank,Sonny Burch. He traffics in black market technology. Hes been getting us what we need to build the tunnel.
Scott,Could I just have one.
Hank,No.
Sonny Burch,"You know, I have a special friend at the FBI. And I say special. because, well, he tells me things that I didnt previously know. For example. your name isnt Susan. Its Hope Van Dyne. And your unseen associate, thats your father, Hank Pym."
Scott,"Thats not good, Hank."
Hank,No shit.
Hope,What do you want.
Sonny Burch,"Relationships are built on trust, Hope. And I want our relationship to have a strong foundation."
Hope,Our relationship.
Sonny Burch,"My business landscape has been shifting, Hope. Hell, S.H.I.E.L.D. and HYDRA dont even exist anymore. but now, Hank Pym. Hank Pym is a real opportunity."
Hope,Do you have a point.
Sonny Burch,"Oh, you think that I dont know what youve been building with all this. Quantum technology. Now, you can forget nanotech, forget AI, forget cryptocurrency. Quantum energy is the future. Its the next gold rush."
Hope,Is that so.
Sonny Burch,"I want in, Hope. So, as a gesture of good will, I have taken the liberty. of arranging some buyers for your lab. Starting bid. one billion dollars."
Hope,"Thank you, Sonny, really. But my father and I have something slightly more pressing than starting a business. So Ill just take the component as arranged."
Sonny Burch,"My buyers dont take no for an answer. So, we are either in business together. or we arent in business together."
Hope,Then I guess we arent.
Sonny Burch,You can go. But Im afraid your moneys gonna have to remain. Lets call it compensation for my injured feelings.
Hope,"Listen, Sonny. This is gonna be so much easier on everybody if you just give me that component."
Sonny Burch,"Darlin, the only thing youre takin from here. is my heart, but it will mend in time."
Hope,Okay.
Scott,"So, now what."
Hank,Youll see.
Sonny Burch,She said her and her daddy had something pressing.
Uzman,Mmm-hmm.
Sonny Burch,I want to know what it is because if theyre not working with us. theyre working with somebody. So find out. I want some names.
Scott,"Hold on, you gave her wings."
Sonny Burch,Get her.
Sonny Burch,"Not my turn-of-the-century chandelier. Stop firing. Stop. All right, take this. Go. Go, go, go. Go."
Scott,Wings and blasters. So I take it you didnt have that tech available for me.
Hank,"No, I did."
Hope,"It was a pleasure doing business with you, Sonny."
Sonny Burch,"Oh, our business isnt finished yet, Hope. I can assure you of that. What in the hell is that."
Hope,"Dad, are you seeing this."
Hank,"Hope, get out of there."
Scott,I gotta do something.
Hank,Wait. It is still a work in progress.
Scott,You taught me that kick. Remember.
Hope,"Yeah, great form."
Scott,Those were the days. Whatever happened to us.
Hope,"Not the time, Scott. Damn it, whered it go. Ive lost it."
Scott,Im not seeing anything on the ant cams. Try looking.
Hope,Dad.
Ghost,Give me that. Now.
Hope,Are you okay.
Hank,No. He got the lab.
Hope,No.
Hank,Come on.
Hope,What was that.
Hank,I dont know. But we need to find somewhere to regroup and figure out where the lab is.
Scott,"So, where to now. How about my house. Hmm. Im supposed to be there anyway, and Woo could walk in any second."
Hank,Exactly why were not going to your house.
Scott,"What about your house. Sorry. Well, there is one place I can think of."
Hank,"No. No, no, no, no. No."
Luis,"Wow, Dr Pym. who wouldve thought that, once again, in your hour of need. that you would turn to us, you know."
Hank,Not me.
Kurt,Mmm. Help yourself.
Luis,"Hey, whats up with the fancy pastry. We gotta keep the food budget down."
Dave,"Well, what are we supposed to have for breakfast."
Luis,The oatmeal packets.
Dave,Oatmeal packets.
Kurt,Its insult.
Luis,Why is it an insult.
Kurt,Because it tastes like sand.
Luis,You know why. Cause its organic.
Kurt,"Its not organic, its sand."
Dave,Its the most important meal of the day.
Luis,"You know what, you can get creative with it."
Kurt,Break teeth.
Luis,Put a little brown sugar on it. You can put some cinnamon. Put a little honey. Whatever you want.
Scott,"Guys, guys, guys. Come on, man. We got bigger fish to fry. Is that my desk."
Luis,Yeah.
Scott,What. Why do I have such a small desk.
Luis,Because you werent there when we were choosing desks.
Kurt,"You snooze, you lose."
Scott,"Well, I was under house arrest."
Luis,Yeah.
Scott,"You know what, this isnt even a desk. This is garbage. You found this outside amongst garbage."
Luis,I got it at a rummage sale.
Scott,"So, you save money on my desk."
Hope,Guys.
Scott,"Hope, please, we need to focus, all right. We gotta find that lab already. Jeez."
Luis,"Oh, you know what. I heard stories, like what happened to you. This crazy, creepy cat, who walks through walls and stuff. Like a ghost."
Kurt,"Like Baba Yaga. Baba Yaga, the witch. They tell stories to children to frighten them. You know Baba Yaga."
Hope,Whoever stole it. we need to find it.
Dave,"Oh, you dont find someone like that. They find you."
Kurt,Like Baba Yaga.
Luis,"Dr Pym, youre the smartest genius I know. Didnt you put some kind of LoJack on your lab. Because if you didnt, we have a variety of affordable options."
Hank,"Of course I did, Luis. It was disabled. Whoever stole the lab knew exactly what they were doing."
Hope,They also looked like they were phasing.
Scott,Phasing.
Hank,Quantum phasing. When an object moves through different states of matter.
Scott,"Oh, yeah, thats what I was thinking."
Hope,The lab emits radiation. Can we modify a quantum spectrometer and track it.
Hank,"That could work, yes, but all my equipment is in the lab."
Scott,Where else can we find that equipment.
Hank,"Well, there is one person. Bill Foster."
Scott,Great. Whos Bill Foster.
Hope,"Hes an old colleague of my dads, from S.H.I.E.L.D. They had a falling out years ago."
Luis,You seem to have a lot of falling outs with people.
Hank,Its probably just a waste of time.
Scott,"Hey, Im risking everything by being here. Dont you think we should check."
Hope,We need to find out who took the lab.
Scott,"Guys, its not a good idea to be out in the open like this."
Hank,"Relax, no ones gonna recognize us."
Scott,"What, because of hats and sunglasses. Thats not a disguise, Hank. We look like ourselves at a baseball game."
Bill Foster,"In an isolated system. particles co-exist in a stable phase relationship. If the system is interfered with, that stability becomes chaos. Unpredictable. Dangerous. Beautiful. Isolated completely, a quantum system would revert back to separate states of matter. each entangled with a distinct state of its environment. In other words, the object in question would be both in and out of phase. with multiple parallel realities. Speaking of being out of phase with reality. I am noticing an unusually high number of glazed eyes out there among you. So, why dont we call it a few minutes early. Thatll be enough for today. Thank you, ladies and gentlemen, you may go. Its incredible. Youre linked to Janet. Its quantum entanglement between the quantum states of Posner molecules in your brains."
Scott,"Yeah, thats what I was thinking. Do you guys just put the word quantum in front of everything."
Hope,"Doctor, we need to find our lab. Hope, Id love to help you. but I dont have anything like the equipment youre describing."
Hank,"I told you this is a waste of time. Come on, lets go."
Bill Foster,"Dont condescend, Hank. Youre the one whos on the run from the FBI. All because you had to grow to a size that finally fit your ego."
Scott,That wasnt me in Germany. It was this idiot. Really.
Bill Foster,"Going that big, it mustve been exhausting."
Scott,I slept for three days straight. You have no idea.
Bill Foster,"Actually, I do. Back in the day, I was Hanks partner on a project called Goliath."
Hank,Excuse me. You were my partner. The only thing more tiring than going that big is putting up with Hanks bullshit.
Scott,Right. I dont know. How big did you get.
Bill Foster,My record. 21 feet.
Scott,Not bad.
Bill Foster,You.
Scott,I dont.
Bill Foster,"No, really, Im curious."
Scott,65 feet. Yeah.
Bill Foster,Whoa. Huge.
Scott,65.
Hope,If you two are finished comparing sizes. we need to figure out a way to track down the lab.
Bill Foster,And the great Hank Pym hasnt figured that one out yet. Strange. You had all the answers back in the day. Thats why I left the project.
Hank,Left. I fired you.
Bill Foster,"Best decision I ever made. Hank was a terrible partner. Temperamental. stubborn, impatient. Sooner or later, he just pushed everyone away."
Hank,Just the mediocrities.
Bill Foster,Janet was the only one who could endure him and chose to stick it out.
Hank,"Watch it, Bill."
Bill Foster,"She paid the price, though, didnt she."
Hank,You son of a bitch.
Hope,I didnt come here to listen to you two squabble. Im trying to save my mother.
Woo,"Now, which office would you say."
Scott,"Oh, its Woo. Someone must have seen me."
Hank,"Relax. If this is about you, theyd be in your house by now. What are you, 15."
Hope,Come on. We gotta go right now.
Bill Foster,Wait. You might be able to improvise that tracker. if you modify the diffraction units on one of your regulators.
Hope,That could work.
Scott,I dont know what that means.
Hope,Thank you. Thank you.
Woo,"But, Doctor, campus police says they IDd both Pym and Van Dyne."
Bill Foster,"I dont know what to tell you, Agent. I havent talked to Hank in 30 years. I can assure you Im the last person he would want to visit."
Agent,"Oh, come on, you expect us to."
Woo,"Hey, hey. Why is that."
Bill Foster,Simple. We hate each others guts.
Hank,"So Im a terrible partner. Foster, he hasnt had one good idea in his unremarkable career."
Hope,"But his idea about the diffractors could work, right."
Hank,"Fine, one decent idea. Except, I eliminated the diffractors when I upgraded the suits."
Scott,"So, if we had an old suit, we might be able to track down the lab."
Hank,"Yes, but we dont."
Scott,What if we did.
Hope,What do you mean.
Scott,I mean. lifes funny.
Hope,"Oh, my God. You didnt destroy the suit."
Hank,What.
Scott,"Well, it was your lifes work, Hank. I couldnt destroy that. Before I turned myself in, I shrunk it down and mailed it to Luis."
Hank,You sent my suit through the mail.
Scott,"Hey, the postal service is very reliable. You know, they do tracking numbers now. Like UPS."
Hank,Where is it.
Scott,"Its in a very safe place, all right. Dont worry."
Luis,"What, the trophy. No, its not here."
Scott,What do you mean its not there. Where could it be.
Luis,"I looked everywhere. Its not here. Hey, get away from the plant."
Scott,But I put it back after Cassie and I. Show-and-tell.
Luis,"Scotty. No, stop."
Scott,"Well, the good news is I know where it is. Whenever you go back to school. isnt everything supposed to look so much smaller. This place seems huge. What is it."
Hope,Its the new regulator.
Scott,"Hank, whats going on with this suit. How much of a work in progress is this. Uh-oh. No, no, no."
Hope,Oh.
Scott,"What are you, laughing. Please, could you just."
Hope,"Okay, okay."
Hank,What do you see. The sizing coils are malfunctioning. Just let me.
Scott,Ow.
Hope,Sorry.
Scott,Its all right.
Hope,Okay. All right. Try that.
Scott,Sorry. What. Awesome.
Hope,If only Cap could see you now.
Scott,Hilarious. What are we gonna do.
Teacher,"Hey. Wheres your hall pass. Hey, Im talking to you. Hey. Hey. Eh."
Hope,You can do it. You almost got it.
Scott,"Oh, peanut."
Hope,"Okay, lets go."
Hank,"Hiya, champ, how was school today."
Scott,"All right, get your jokes out now. Can you fix the suit."
Hope,So cranky.
Hank,You want a juice box and some string cheese.
Scott,Do you really have that.
Hank,Lets see if Foster was right. This has gotta be the lab.
Hope,Lets go get it.
Hank,Yeah.
Scott,"This seems right. Look at us, teaming up twice in one day."
Hope,"Makes you think, huh."
Scott,About what.
Hope,Germany.
Scott,What do you mean.
Hope,"We were working together, training together. and other stuffing together."
Scott,"If I had asked you, would you have come."
Hope,I guess well never know. But I do know one thing.
Scott,What.
Hope,"If I had, youd have never been caught."
Hank,"Hey, Scott. You think you can stop daydreaming about my daughter long enough to get my lab."
Scott,"Yes, sir."
Hank,"Thank you. Okay, youre transmitting."
Hope,What took you so long.
Scott,"Sorry, I had to come up with a name for my ant. Im thinking Ulysses S. Gr-Ant. You like it."
Hope,Hilarious.
Hank,Im not getting anything on the monitors. Theres some kind of electronic disturbance. Be careful.
Scott,"You know me, Hank. Im always careful. Whoa."
Hope,Its okay. Its just the suit.
Scott,How do you know.
Hope,Look.
Scott,Thats Ghost.
Hope,What is she doing.
Scott,Do you think that suit is how she goes through walls and stuff.
Hope,Lets just get outta here before she wakes up.
Scott,"Hope, look. Theres the lab. Now, were sure this is our shrunken building and not somebody elses, right."
Hope,"Just take it, Scott. Come on, we gotta be fast."
Scott,Ill get it.
Hope,"Oh, shit."
Scott,Hope. Hope. Hank. Guys.
Ghost,I dont think they can hear you. Hi. Im Ava.
Scott,"Scott. So, you dont need the suit. to go through things."
Ghost,"No. It just helps me control it. And the pain, supposedly."
Scott,"Youre not gonna reach into my chest and crush my heart, are you."
Ghost,"Youre funny. Im not gonna hurt you, Scott, unless I have to. I need. whats in your head. Lets wake up the rest of the gang and get this over with, shall we. Get up. Come on."
Hope,Dad. Dont ever touch him again.
Ghost,"Now, now, Hope. I think Im being rather gentle with your father, all things considered."
Hank,What the hell are you talking about.
Bill Foster,Another casualty of Hank Pyms ego.
Hank,Bill. What have you done.
Ghost,"Its what youve done, Dr Pym."
Scott,"Youre with her. Oh, man. I thought you were cool."
Hope,What the hell is going on here.
Ghost,"I doubt Hank has ever mentioned my father. Why would he. Elihas Starr. They were colleagues at S.H.I.E.L.D. Quantum research. Until my father dare disagree with the great Hank Pym. You had him fired. Oh, and discredited for good measure. My father tried to continue his research on his own. Desperate to restore his name, so he took risks."
Father of Ghost,"No, no, no."
Ghost,Too many. Until something went wrong. He told us to run.
Mother of Ghost,"Elihas, whats happening."
Father of Ghost,Just go. Go.
Ghost,Daddy. Daddy. I could tell he was scared. Daddy.
Mother of Ghost,"Ava, no."
Ghost,"I didnt want him to be alone. No. No. When I woke up, my parents were dead. I wasnt so lucky. They call it molecular disequilibrium. A rather dull name, I think. Doesnt quite do justice to what it means. Every cell in my body is torn apart. and stitched back together. Over and over. Every day."
Bill Foster,"I was still at S.H.I.E.L.D. when I got the call about a quantum anomaly in Argentina. Hello, Ava. My names Bill. I was a friend of your fathers. I brought you something. Its all right. Try again. Thats it."
Ghost,"Dr Foster did his best to keep me safe. But others at S.H.I.E.L.D. saw an opportunity in my affliction. They built me a containment suit, so I could control my phasing. And trained me to be a stealth operative. They weaponized me. I stole for them. Spied for them. k*lled for them. And in exchange for my soul. they were going to cure me. They lied."
Bill Foster,"When S.H.I.E.L.D. collapsed, I took Ava in. I built the chamber to slow her decay, but her condition was progressive. I didnt know how to cure it. She wanted to k*ll you, Hank, but I told her no. and that she should watch you instead. And sure enough, she discovered that you were building the tunnel. Then, she told me about Lang. And the message from Janet inside his head, thats when I. Christs sake."
Scott,"Thats me. Im sorry. Look, can you tell me whos texting me."
Bill Foster,"Cassie, 911."
Scott,Thats my daughter. I need to text her back.
Bill Foster,"No, thats not happening."
Scott,"What, its 911. That means its an emergency."
Bill Foster,"Youre not making demands here, Lang. Youre not appreciating the gravity of the."
Scott,"Okay, look, shes trying to video chat me now. Something might be wrong. Let me talk to her. Please. Cassie, are you okay. Whats the emergency."
Cassandra,I cant find my soccer shoes.
Scott,What.
Cassandra,I have a game tomorrow.
Maggie,"Hey, Scott, I know that theyre there. Can you just walk the phone around the house."
Scott,"No, I cant do that right now."
Maggie,Why not.
Scott,Because Im sick.
Maggie,"Hey, can you just maybe look around later then and call me back. Please. Thank you."
Cassandra,"Bye, Daddy."
Scott,"Bye, peanut. Feel better."
Paxton,"Feel better, buddy."
Scott,Im sorry. It said emergency.
Hank,"Ava, I want to help you."
Bill Foster,She doesnt need your help. I know how to save her.
Hank,"Oh, really. How."
Ghost,Janet.
Bill Foster,"For the last 30 years, shes been down there absorbing quantum energy. We can extract that energy. We can use it to repair Avas molecular structure."
Hank,Extract it.
Bill Foster,Yes.
Hank,Are you insane. That would rip Janet apart.
Bill Foster,"You dont know that. Im gonna fire up your tunnel. When Janets location pops into Langs head, hes gonna give it to me. or Im gonna turn him over to the FBI."
Scott,What.
Bill Foster,You are gonna stay here. just in case I need your help.
Hank,Like hell I would help you.
Ghost,Youll do whatever I say.
Hank,Youre gonna k*ll Janet.
Ghost,"Id be more worried about yourself, Hank."
Hank,"g*dd*mn it, Bill."
Hope,Dad.
Bill Foster,"Calm down, Hank."
Hank,So help me God. The pills.
Hope,"Its his heart. He needs his pills. Please, Dr Foster. Theyre in the tin. Please. He could die. Come on."
Scott,Help him.
Hope,"Dad, just hang on, all right. Just keep breathing. Stay calm."
Scott,"Help him, man. Come on."
Hope,The Altoid tin.
Ghost,Wait.
Scott,"Thanks, guys. Hank."
Hank,"Bill is filling that girls head with lies. Elihas Starr was a traitor. He stole my plans. Now, bring it down. All right, lock it in. No, no, no. The bolt is on the other side. Tighten that one down, then bring it down one notch. Good job."
Hope,Itll work.
Hank,"Foster, he could have fried the entire system."
Hope,"Look, well adjust the relays while you go reprogram the settings, all right. Its going to be fine."
Scott,"So, this is it."
Hope,Yeah. Youd think with all this time to prepare Id be more ready.
Scott,"Oh, going subatomic isnt something you can prepare for. It kind of melts your mind."
Hope,I mean seeing my mom again.
Scott,Oh.
Hope,What if shes a completely different person.
Scott,"Yeah, like, uh, George Washington."
Hope,"Im serious, Scott."
Scott,Or George Jefferson.
Hope,What if shes forgotten about me.
Scott,When I was in prison. the only thing that got me through was Cassie. I could have been locked up for 100 years. I never would have forgotten her. I know your mom is counting the minutes until she can see you again.
Hope,Thank you.
Scott,Hey.
Luis,We got a big problem. You forgot the motion sensor lights on the back of the building.
Scott,"Oh, no."
Luis,"And theyre on the proposal, and Karapetyan asked for them specifically."
Scott,"Uh, yeah, look, its been a little crazy. Look, maybe I could stop by tomorrow, take a look at it."
Luis,"No. No, no, no, no. The meeting is first thing in the morning. You gotta come right now and fix it."
Scott,"I cant. I wish I could, but I cant leave."
Luis,"You know what, Im coming to you. Ill just bring the plans. Theyre on the laptop. And you can fix them there. Just tell me where you are, okay."
Scott,Its complicated.
Luis,What do you mean its complicated.
Dave,"As you can see, sir, this system is state of the art."
Kurt,"Security of tomorrow, today."
Luis,"Oh, thats so good. And I love the lean-in, bro. Keep practicin. Hey, I just gotta drive up to Scottys, so we can fix the plans. But dont worry, Ill be back in plenty of time."
Dave,As you can see.
Luis,"Oh, oh, oh. Tell me you got the van washed for tomorrow morning."
Dave,"Down to the undercarriage, baby."
Luis,You sprung for the undercarriage wash.
Dave,"Well, you said get the works."
Luis,"Thats a scam, bro. We live in California, not Minnesota."
Sonny Burch,"Hes right. The undercarriage wash, thats for cleaning off road salt. laid down in our more snow-laden sister states."
Luis,"Who are you, and why do you know so much about car wash protocol."
Sonny Burch,"Well, my name is Sonny Burch. And I do my research, Luis. To wit, I have learned from a friend of mine. at the FBI that you are a known associate of Scott Lang. a known associate of Hank Pym, who Ive also learned. has a portable shrinking laboratory. filled with all kinds of juicy tech. And youre gonna tell me where it is."
Luis,"Well, I hate to break it to you, but I dont know what youre talking about."
