Line,Strat Time,End Time
was the hardest thingthat I ever had to do.,"00:02:34,920 "," 00:02:37,594"
But then Scott showed up.,"00:02:41,800 "," 00:02:43,234"
"Or should I say,broke into our house.","00:02:43,920 "," 00:02:46,879"
And when he wentto the quantum realm...,"00:02:48,040 "," 00:02:49,918"
and came back.,"00:02:53,560 "," 00:02:54,596"
Everything changed.,"00:02:55,480 "," 00:02:56,994"
I started to wonder...,"00:02:59,000 "," 00:03:00,878"
could your motherstill be alive?,"00:03:01,440 "," 00:03:03,636"
"So, I dusted offsome old plans.","00:03:05,360 "," 00:03:08,273"
"Dad, what are you saying?","00:03:17,960 "," 00:03:19,997"
I think it's possibleto bring her back.,"00:03:21,000 "," 00:03:24,676"
Okay. We're in.,"00:04:03,720 "," 00:04:05,677"
"Oh, this place is a maze.","00:04:08,840 "," 00:04:10,957"
Where's that map?,"00:04:11,120 "," 00:04:12,998"
We're definitely close.,"00:04:16,040 "," 00:04:17,599"
" You ready? I'm ready, Daddy.","00:04:17,760 "," 00:04:19,558"
"Are you sure?'Cause once we're inside,","00:04:19,720 "," 00:04:21,439"
"you show any hesitationor fear, we're done.","00:04:21,520 "," 00:04:23,716"
I eat fear for breakfast.,"00:04:23,880 "," 00:04:25,837"
Wow. That is super cool.,"00:04:26,000 "," 00:04:28,469"
Come on.,"00:04:28,640 "," 00:04:29,710"
Look! It's Anton.He'll show us the way.,"00:04:34,040 "," 00:04:37,158"
"Anton, which way do we go?","00:04:37,320 "," 00:04:39,198"
"Anton, which way do we go?","00:04:42,040 "," 00:04:43,872"
"Thanks, Anton!","00:04:51,840 "," 00:04:52,990"
"Look, the ants have burrowedinto the tech facility.","00:04:54,760 "," 00:04:57,639"
"Oh no, lasers!","00:04:57,800 "," 00:04:59,519"
Oh! I think I got lased!,"00:05:01,560 "," 00:05:03,677"
The secret vault.,"00:05:05,960 "," 00:05:08,156"
Tell me you broughtthe contact lens.,"00:05:09,160 "," 00:05:11,117"
Yup.,"00:05:11,280 "," 00:05:12,919"
Perfect! Right there.,"00:05:14,520 "," 00:05:16,989"
There!It's the microtreasure!,"00:05:21,040 "," 00:05:23,350"
My trophy?,"00:05:23,520 "," 00:05:25,159"
It looks like treasure.,"00:05:25,720 "," 00:05:26,836"
"Oh, it is to me.","00:05:27,000 "," 00:05:28,275"
I want to take itto showandtell.,"00:05:28,440 "," 00:05:29,840"
"Oh, no, you can't do that.","00:05:30,000 "," 00:05:31,040"
You can't. It never leavesthe house. It's too important.,"00:05:31,200 "," 00:05:34,318"
This is the best birthdaypresent you ever got me.,"00:05:34,520 "," 00:05:36,557"
I'm so touched you think,"00:05:36,720 "," 00:05:37,720"
I'm the world'sgreatest grandma.,"00:05:37,800 "," 00:05:39,632"
It was the only one they had.,"00:05:39,800 "," 00:05:41,120"
It makes me wantto knit you a sweater.,"00:05:41,280 "," 00:05:42,999"
"Oh, no, the fuzz!","00:05:45,320 "," 00:05:46,470"
"Hey, Scotty...","00:05:46,640 "," 00:05:47,471"
I was lookingat the schematics,"00:05:47,640 "," 00:05:48,736"
for theKarapetyan buildings...,"00:05:48,760 "," 00:05:50,194"
and I think we have,"00:05:50,360 "," 00:05:51,430"
"way too many security cameras,don't we?","00:05:51,520 "," 00:05:52,936"
"No, no, not at all.","00:05:52,960 "," 00:05:54,189"
"I mean, 'cause it's a lot ofsecurity cameras.","00:05:54,360 "," 00:05:55,896"
I know what he needs.,"00:05:55,920 "," 00:05:57,070"
Who's the security expertin our business?,"00:05:57,160 "," 00:05:58,958"
"You are, but I'm runningthe company, right?","00:05:59,120 "," 00:05:59,917"
And if we overquote him...,"00:06:00,000 "," 00:06:01,040"
he's gonna go somewhere else.,"00:06:01,120 "," 00:06:02,176"
"I mean,we gotta land this bird.","00:06:02,200 "," 00:06:02,917"
He ain't goin' anywhere.,"00:06:03,080 "," 00:06:04,275"
And the expression island this fish.,"00:06:04,360 "," 00:06:05,656"
"No, it's land the bird.","00:06:05,680 "," 00:06:07,114"
Just like you land the plane.,"00:06:07,280 "," 00:06:08,416"
You gotta land the planeto be in business.,"00:06:08,440 "," 00:06:09,696"
I know it's sillyto get hung up,"00:06:09,720 "," 00:06:10,995"
"on these kinds of things,but I do.","00:06:11,080 "," 00:06:12,594"
How am I gonna land a fish?,"00:06:12,760 "," 00:06:13,910"
It can't walk.And if it swam up on shore...,"00:06:14,080 "," 00:06:15,958"
"and it battled a hawk,who's gonna win?","00:06:16,080 "," 00:06:18,276"
You've really turned me aroundon this thing.,"00:06:18,880 "," 00:06:21,475"
It's okay.We're gonna land Karapetyan.,"00:06:21,640 "," 00:06:23,552"
"Now, if you just excuse me...","00:06:23,720 "," 00:06:24,949"
I'm in the middle of trying to,"00:06:25,120 "," 00:06:25,712"
steal somethingwith my daughter.,"00:06:25,800 "," 00:06:26,472"
I'm gonna go recheck it.,"00:06:26,640 "," 00:06:27,676"
To the escape ant!,"00:06:27,960 "," 00:06:30,395"
Let's bouncebefore the popo come back!,"00:06:31,480 "," 00:06:34,314"
The popo?How do you even know that?,"00:06:34,480 "," 00:06:37,393"
"Let's fly, Antoinette!Let's fly!","00:06:37,560 "," 00:06:39,552"
Crash landing!,"00:06:50,680 "," 00:06:51,796"
Whoo!,"00:06:52,160 "," 00:06:53,480"
I wish we could shrinkfor real.,"00:06:55,800 "," 00:06:57,234"
Oh. That is pretty cool.,"00:06:57,360 "," 00:06:58,919"
"Hey, I'm headedto the office, Scotty.","00:06:59,520 "," 00:07:01,000"
"And sorry about freaking outearlier, you know.","00:07:01,280 "," 00:07:02,536"
But I feellike I'm way better.,"00:07:02,560 "," 00:07:03,760"
My heart is definitely beatingway too hard and stuff.,"00:07:03,880 "," 00:07:06,000"
And my hands are shaking.,"00:07:06,160 "," 00:07:07,196"
"But I think it's unrelated,you know?","00:07:07,320 "," 00:07:08,696"
"It's gonna be great, Luis!","00:07:08,720 "," 00:07:09,836"
You got nothingto worry about!,"00:07:09,920 "," 00:07:11,120"
"Yeah, yeah. I'm the boss.I'm the boss.","00:07:11,240 "," 00:07:13,709"
"I'm the boss.Yeah, yeah, yeah, yeah.","00:07:13,880 "," 00:07:15,176"
Daddy!,"00:07:15,200 "," 00:07:16,634"
"Come on, Woo!I've got 3 days left.","00:07:22,200 "," 00:07:24,840"
Why would I try to escape?,"00:07:24,920 "," 00:07:26,115"
"Sorry, Scott,but rules are rules.","00:07:26,280 "," 00:07:27,999"
"You trip the perimeter alarm,we search the place.","00:07:28,160 "," 00:07:29,816"
"Keel to stern, soup to nuts.","00:07:29,840 "," 00:07:31,479"
Thank you.,"00:07:31,720 "," 00:07:33,234"
It was an accident. My footwent through the fence.,"00:07:33,400 "," 00:07:35,471"
Our flying ant crashed.,"00:07:35,680 "," 00:07:36,955"
"Hey, you try and entertaina 10yearold","00:07:37,840 "," 00:07:39,376"
when you can't leavethe house.,"00:07:39,400 "," 00:07:40,600"
You know the lengthsthat I've gone to?,"00:07:40,640 "," 00:07:42,871"
Closeup magic.,"00:07:44,080 "," 00:07:45,719"
I learned that.,"00:07:48,640 "," 00:07:49,790"
Why can't you just leavemy daddy alone?,"00:07:50,480 "," 00:07:52,358"
"Oh, Cassie.","00:07:53,800 "," 00:07:55,519"
This must all seem likea bunch of confusing,"00:07:55,680 "," 00:07:57,876"
"grownup stuff to you, huh?","00:07:57,960 "," 00:07:59,474"
"Well, think of it this way.","00:07:59,640 "," 00:08:01,313"
"Your school has rules, right?","00:08:01,480 "," 00:08:03,199"
"Like, you can't drawon the walls.","00:08:03,280 "," 00:08:05,192"
"Well, your daddywent to Germany","00:08:05,360 "," 00:08:07,272"
and drew on the wallswith Captain America.,"00:08:07,360 "," 00:08:09,317"
"And that was a violationof Article 16,","00:08:09,480 "," 00:08:11,836"
Paragraph 3of the Sokovia Accords.,"00:08:11,920 "," 00:08:14,037"
"Now, as a part ofhis joint plea deal...","00:08:14,200 "," 00:08:15,953"
with Homeland Securityand the German government...,"00:08:16,120 "," 00:08:18,351"
he was allowed to returnto the U.S...,"00:08:18,560 "," 00:08:20,233"
provided he serve 2 yearsunder house arrest...,"00:08:20,400 "," 00:08:22,710"
followed by 3 yearsof probation.,"00:08:22,880 "," 00:08:24,599"
"And avoid any unauthorizedactivities, technology...","00:08:24,760 "," 00:08:27,559"
or contact with anyformer associates who were...,"00:08:27,720 "," 00:08:29,837"
or currently arein violation of said Accords.,"00:08:30,000 "," 00:08:33,232"
Or any related statutes.,"00:08:33,400 "," 00:08:34,800"
"Okay, sweetie?","00:08:34,960 "," 00:08:36,235"
Wow. You're really greatwith kids.,"00:08:37,320 "," 00:08:39,710"
Thanks.I'm also a youth pastor.,"00:08:39,880 "," 00:08:41,758"
"Anyway, not to bea Johnny askalot...","00:08:42,360 "," 00:08:44,511"
but you haven't hadany contact,"00:08:44,680 "," 00:08:46,000"
"with Hank Pymor Hope Van Dyne, have you?","00:08:46,080 "," 00:08:47,719"
 No. You sure?,"00:08:47,920 "," 00:08:49,354"
Because it's only a matterof time before we get 'em.,"00:08:49,520 "," 00:08:51,536"
"It was their tech, so theyviolated the Accords, too.","00:08:51,560 "," 00:08:54,075"
And associating with thembreaks your deal.,"00:08:54,240 "," 00:08:57,074"
"And, uh, I don't needto remind you...","00:08:57,240 "," 00:08:59,357"
that any violationof your agreement,"00:08:59,520 "," 00:09:01,239"
means 20 years in prison.Minimum.,"00:09:01,320 "," 00:09:03,039"
I haven't talked to Hankor Hope in forever.,"00:09:03,200 "," 00:09:05,669"
They hate his guts.,"00:09:05,840 "," 00:09:06,956"
"Thanks, peanut.","00:09:07,120 "," 00:09:08,120"
"How'd you do it, Scott?","00:09:09,640 "," 00:09:10,960"
Do what?,"00:09:11,680 "," 00:09:12,716"
The card trick.,"00:09:13,920 "," 00:09:15,832"
Seriously?,"00:09:16,320 "," 00:09:17,470"
"Oh, my God!","00:09:17,880 "," 00:09:19,633"
You peoplecan't just show up here,"00:09:19,800 "," 00:09:22,110"
whenever you wantand search the place.,"00:09:22,200 "," 00:09:23,759"
"Actually, they can.","00:09:23,920 "," 00:09:24,956"
You need a warrant.,"00:09:25,120 "," 00:09:25,871"
"Actually, they don't.","00:09:26,080 "," 00:09:27,116"
Really? Wow.,"00:09:27,280 "," 00:09:28,760"
Did you packyour soccer shoes?,"00:09:29,400 "," 00:09:31,039"
 Yeah. All right.,"00:09:31,200 "," 00:09:33,317"
Next time I see you will beon the outside.,"00:09:33,880 "," 00:09:36,190"
All right.,"00:09:36,360 "," 00:09:37,953"
"Oh, get on the inside of this.","00:09:38,400 "," 00:09:40,039"
"Hey, 3 days.Seriously...","00:09:41,320 "," 00:09:42,834"
" I'm proud of you, bud. Thank you.","00:09:43,000 "," 00:09:44,256"
You know what?Give me another one.,"00:09:44,280 "," 00:09:45,776"
Me too!Gosh! Freedom!,"00:09:45,800 "," 00:09:47,871"
New business!I am sensing greatness.,"00:09:48,040 "," 00:09:50,635"
"I had a fun weekend, Daddy.","00:09:50,800 "," 00:09:52,393"
"Me too, peanut. But just waittill next weekend.","00:09:52,560 "," 00:09:54,472"
"Once I'm outta here,","00:09:54,640 "," 00:09:55,640"
you and I aregonna go paint this town red.,"00:09:55,720 "," 00:09:57,056"
"We'll have so much ice cream,we'll never stop puking.","00:09:57,080 "," 00:10:00,357"
You're gettin' good at that.,"00:10:08,080 "," 00:10:09,230"
How'd you do that?,"00:10:09,400 "," 00:10:10,436"
" Bye, Daddy. Bye.","00:10:10,600 "," 00:10:11,840"
 Bye. Bye.,"00:10:13,400 "," 00:10:15,039"
3 days.,"00:10:18,800 "," 00:10:20,154"
Easypeasy.,"00:10:20,760 "," 00:10:22,080"
Snap your fingers. That getsthem to look over there.,"00:10:30,280 "," 00:10:33,159"
And that is misdirection.,"00:10:33,360 "," 00:10:35,158"
We had a dream,"00:10:38,880 "," 00:10:40,280"
We'd go travelin' together,"00:10:40,360 "," 00:10:41,953"
We'd spread a little lovin'then we'd keep movin' on,"00:10:42,160 "," 00:10:45,198"
Easypeasy.,"00:11:14,360 "," 00:11:17,319"
Where are you?,"00:11:24,320 "," 00:11:25,834"
Everythingthat you know...,"00:11:34,160 "," 00:11:36,516"
Lost...,"00:11:40,240 "," 00:11:41,515"
in the quantum realm.,"00:11:41,720 "," 00:11:44,076"
What?,"00:11:51,280 "," 00:11:52,794"
"I'm gonna find you,Jellybean.","00:11:53,080 "," 00:11:55,231"
I found you!,"00:12:01,040 "," 00:12:02,394"
"You always find me, Mommy.","00:12:02,520 "," 00:12:04,989"
What the hell?,"00:12:05,480 "," 00:12:07,392"
"Hey, Hank!It's been a while.","00:12:22,160 "," 00:12:24,436"
"Um, I don't even know ifthis is your number anymore.","00:12:25,360 "," 00:12:29,070"
And I'm probablythe last person,"00:12:29,240 "," 00:12:30,594"
you wanna hear from.,"00:12:30,680 "," 00:12:32,239"
But I just hada really weird dream.,"00:12:33,360 "," 00:12:35,556"
And I know that doesn't,"00:12:35,720 "," 00:12:36,836"
sound like an emergencyor anything...,"00:12:36,920 "," 00:12:38,216"
but it just felt very real.,"00:12:38,240 "," 00:12:42,393"
I was backin the quantum realm...,"00:12:43,000 "," 00:12:46,038"
and I think I saw your wife.,"00:12:46,240 "," 00:12:49,233"
And then I was your wife.,"00:12:49,400 "," 00:12:51,357"
"I mean, not in a weird wayor anything.","00:12:51,520 "," 00:12:54,354"
"You know,hearing this out loud,","00:12:56,560 "," 00:12:58,870"
"I'm thinking, uh,it's not an emergency.","00:12:58,960 "," 00:13:01,316"
I'm sorry to bother you.,"00:13:01,480 "," 00:13:03,472"
I'm sorry for a lot of things.,"00:13:04,760 "," 00:13:07,116"
"That means, one tiny atomin my fingernail could be...","00:13:16,120 "," 00:13:19,397"
"Could be one,little, tiny universe.","00:13:20,560 "," 00:13:24,793"
Hope?,"00:13:58,720 "," 00:13:59,720"
Is this another dream?,"00:14:01,960 "," 00:14:03,360"
Do you think it was a dream...,"00:14:03,520 "," 00:14:04,696"
or is it possible that youreally saw my mom down there?,"00:14:04,720 "," 00:14:07,315"
I'm not sure.,"00:14:08,000 "," 00:14:09,480"
I can't be here!,"00:14:12,960 "," 00:14:14,280"
I can't be here!I'm under house arrest!,"00:14:14,360 "," 00:14:16,079"
"They won't open whilethe system's engaged, Scott.","00:14:16,240 "," 00:14:19,074"
You have to take me home.They could show up any second!,"00:14:38,840 "," 00:14:41,674"
"Relax. As far as yournanny cops know,","00:14:41,840 "," 00:14:43,016"
you're still at home.,"00:14:43,040 "," 00:14:44,156"
Whoa!,"00:14:50,960 "," 00:14:52,314"
Scotty?,"00:14:58,160 "," 00:14:59,160"
He's programmed toreplicate your daily routine.,"00:14:59,320 "," 00:15:01,296"
9 hours in bed.,"00:15:01,320 "," 00:15:02,674"
5 hours in front of the TV.,"00:15:02,880 "," 00:15:04,080"
"2 hours in the bathroom,whatever that's about.","00:15:04,160 "," 00:15:06,277"
That's totally inaccurate.,"00:15:06,440 "," 00:15:07,874"
And how do you knowabout my daily routine?,"00:15:08,040 "," 00:15:09,720"
Are you spying on me?,"00:15:09,760 "," 00:15:10,796"
"We keep tabs on allsecurity threats, all right?","00:15:10,960 "," 00:15:12,776"
And so far the biggest onewe've had is you.,"00:15:12,800 "," 00:15:14,837"
I'm sorry about Germany.They just showed up.,"00:15:17,880 "," 00:15:20,270"
They said it wasa matter of national security.,"00:15:20,480 "," 00:15:22,320"
"That Cap needed help, so...","00:15:22,440 "," 00:15:23,669"
Cap?,"00:15:23,840 "," 00:15:25,069"
Tain America.Captain. Cap.,"00:15:25,960 "," 00:15:28,953"
It's what we call him.,"00:15:29,120 "," 00:15:30,918"
If you're a friend.,"00:15:31,400 "," 00:15:32,550"
"I'm not saying I'm a friendof... A little, I know him.","00:15:32,720 "," 00:15:33,976"
He's nice. Whatever.,"00:15:34,000 "," 00:15:35,036"
I'm sorry! All right?I didn't think I'd get caught.,"00:15:35,680 "," 00:15:38,195"
You didn't thinkabout a lot of things.,"00:15:38,360 "," 00:15:39,880"
How's Hank?,"00:15:41,320 "," 00:15:42,470"
"We're still running. The houseis gone, so is our freedom.","00:15:42,640 "," 00:15:44,776"
How do you think he is?,"00:15:44,800 "," 00:15:46,029"
I'm sorry. I know you're mad.,"00:15:46,200 "," 00:15:48,032"
"I'm not lookingfor an apology, Scott.","00:15:48,200 "," 00:15:49,680"
The only reasonwhy we're even talking is...,"00:15:49,840 "," 00:15:51,560"
because we needwhat's in your head.,"00:15:51,600 "," 00:15:53,193"
Is this where you're living?,"00:16:32,040 "," 00:16:33,952"
"If you need help or moneyor something, maybe I can...","00:16:34,600 "," 00:16:38,355"
We're fine.,"00:16:38,520 "," 00:16:39,874"
"Hey, Hank.Look, I just wanna...","00:17:37,040 "," 00:17:39,191"
Save it!,"00:17:39,760 "," 00:17:41,194"
 Can we start? Yeah.,"00:17:44,560 "," 00:17:45,710"
"So, while you were relaxingat home...","00:17:47,000 "," 00:17:49,231"
we were building this.,"00:17:49,400 "," 00:17:51,756"
It's a tunnel.To the quantum realm.,"00:17:52,720 "," 00:17:54,757"
To my mom.,"00:17:55,800 "," 00:17:57,029"
We think she might stillbe down there.,"00:17:57,200 "," 00:17:58,376"
We just don't know where.,"00:17:58,400 "," 00:17:59,400"
What?,"00:17:59,560 "," 00:18:00,560"
If we can pinpointmy mom's location...,"00:18:01,080 "," 00:18:03,072"
then the pod can take me downto get her.,"00:18:03,240 "," 00:18:05,152"
You built all thisand you don't even know,"00:18:05,320 "," 00:18:06,656"
if she's alive?,"00:18:06,680 "," 00:18:07,875"
It's called a hypothesis.,"00:18:08,040 "," 00:18:09,952"
"Last night, we powered upthe tunnel for the first time.","00:18:10,120 "," 00:18:12,840"
It was overloadedand it shut down.,"00:18:13,000 "," 00:18:15,117"
"But for a split second,","00:18:15,320 "," 00:18:16,879"
the doorway to thequantum realm was opened.,"00:18:16,960 "," 00:18:19,919"
And?,"00:18:20,800 "," 00:18:21,870"
"And 5 minutes later,you called, talking about Mom.","00:18:22,040 "," 00:18:25,158"
"We thinkwhen you were down there,","00:18:26,080 "," 00:18:27,136"
you may have entangledwith her.,"00:18:27,160 "," 00:18:28,514"
"Hank, I would never do that.I respect you too much.","00:18:28,680 "," 00:18:30,720"
"Quantum entanglement, Scott.","00:18:30,920 "," 00:18:33,071"
We think she might have put,"00:18:33,280 "," 00:18:34,475"
some kind of a messagein your head.,"00:18:34,560 "," 00:18:35,936"
"Hopefully, a location.","00:18:35,960 "," 00:18:37,758"
And opening the tunneltriggered it.,"00:18:37,920 "," 00:18:39,513"
Your mom put a messagein my head?,"00:18:39,720 "," 00:18:41,279"
Come on. That's insane.,"00:18:41,360 "," 00:18:42,999"
"No, Scott.","00:18:43,160 "," 00:18:44,196"
Insane is going to Germany,"00:18:44,360 "," 00:18:46,716"
"without telling us,and fighting the Avengers.","00:18:46,800 "," 00:18:49,156"
Just tell me you weren't lyingabout the suit you took.,"00:18:49,320 "," 00:18:52,438"
Tell meyou really destroyed it.,"00:18:52,600 "," 00:18:55,399"
"I did, I destroyed it,I swear.","00:18:55,560 "," 00:18:57,756"
I can't believeyou destroyed my suit!,"00:18:57,920 "," 00:18:59,798"
That was my life's work!,"00:19:00,760 "," 00:19:02,319"
What was I supposed to do?,"00:19:02,480 "," 00:19:03,709"
You were supposed to nottake my suit!,"00:19:03,880 "," 00:19:06,634"
"I'm sorry, Hank!","00:19:06,800 "," 00:19:07,800"
I'm sorry I took the suit.,"00:19:08,000 "," 00:19:09,354"
I'm sorrythat I called last night.,"00:19:09,440 "," 00:19:11,636"
I don't rememberseeing Janet down there.,"00:19:11,800 "," 00:19:13,816"
I wish that I did.,"00:19:13,840 "," 00:19:15,035"
I just had a dream about her,"00:19:15,200 "," 00:19:16,111"
playing hideandseekwith a little girl.,"00:19:16,200 "," 00:19:17,800"
What?,"00:19:21,200 "," 00:19:22,200"
I had a dream.,"00:19:24,840 "," 00:19:26,274"
She was playing hideandseekwith a little girl.,"00:19:26,440 "," 00:19:29,080"
Cassie and I do itall the time.,"00:19:29,240 "," 00:19:31,038"
Doesn't mean anything.,"00:19:31,120 "," 00:19:32,395"
But was it Cassiein the dream?,"00:19:32,560 "," 00:19:34,517"
No.,"00:19:34,680 "," 00:19:35,750"
Where was she hiding?,"00:19:35,920 "," 00:19:37,036"
 What? The little girl.,"00:19:37,200 "," 00:19:38,554"
Where was she hiding?Was it in a wardrobe?,"00:19:38,720 "," 00:19:40,757"
"No, it was in a tall dresser.","00:19:41,520 "," 00:19:44,035"
You mean a wardrobe.,"00:19:44,240 "," 00:19:45,356"
Is that what that's called?,"00:19:45,520 "," 00:19:46,636"
What color was it?,"00:19:47,000 "," 00:19:48,480"
Red.,"00:19:49,240 "," 00:19:50,240"
Were there horses on it?,"00:19:52,320 "," 00:19:53,800"
"Oh, boy.","00:19:54,360 "," 00:19:55,476"
It's where I hidevery time that we played.,"00:19:56,600 "," 00:19:59,513"
It doesn't sound like,"00:20:00,080 "," 00:20:01,196"
you really got the gistof the game.,"00:20:01,280 "," 00:20:03,317"
She's alive.,"00:20:05,080 "," 00:20:06,514"
I knew it.,"00:20:08,280 "," 00:20:09,919"
I knew it!,"00:20:10,840 "," 00:20:12,194"
We need to get that part.,"00:20:13,760 "," 00:20:15,114"
Okay.,"00:20:15,280 "," 00:20:16,475"
The sooner we getthe tunnel working...,"00:20:18,520 "," 00:20:19,896"
the sooner we can getthis message out of his head.,"00:20:19,920 "," 00:20:21,536"
Does Burch have it?,"00:20:21,560 "," 00:20:22,560"
 Yeah. Let's go. What part?,"00:20:22,720 "," 00:20:24,216"
Who's Burch?Wait. What's happening?,"00:20:24,240 "," 00:20:26,357"
We need a componentto stop the tunnel,"00:20:27,760 "," 00:20:29,319"
from overloading again.,"00:20:29,400 "," 00:20:30,914"
I grabbed your clothes.You might want to change.,"00:20:31,160 "," 00:20:33,675"
"Look, I'd really liketo help you...","00:20:43,200 "," 00:20:45,112"
but if I'm not at homewhen they come,"00:20:46,200 "," 00:20:47,336"
to take offmy ankle monitor...,"00:20:47,360 "," 00:20:48,560"
then I'm going away forever.,"00:20:48,600 "," 00:20:50,034"
Once we get the componentand power up the tunnel...,"00:20:50,200 "," 00:20:52,240"
"we'll get the message,and have you home by lunch.","00:20:52,320 "," 00:20:54,280"
We have to hurry.The entanglement won't last.,"00:20:54,320 "," 00:20:56,516"
You owe us.,"00:20:56,680 "," 00:20:57,680"
"All right, fine.But can I just wait inside?","00:20:58,360 "," 00:21:00,158"
Because I'm not supposedto be out here.,"00:21:00,360 "," 00:21:01,920"
Let's go.,"00:21:11,960 "," 00:21:13,314"
 We good? Yeah.,"00:21:30,800 "," 00:21:32,314"
I'll be right back.,"00:21:32,520 "," 00:21:34,034"
 Can I have one of these? No.,"00:21:41,400 "," 00:21:43,676"
Ah. Susan! Welcome to Oui!,"00:21:57,920 "," 00:22:01,118"
Sonny!,"00:22:01,280 "," 00:22:02,919"
Oui is Frenchfor yes.,"00:22:03,080 "," 00:22:04,912"
"As in yes to farmtotable,yes to locally sourced...","00:22:05,080 "," 00:22:07,320"
and yes to planetbefore profit.,"00:22:07,400 "," 00:22:09,995"
"Well, let's hopeit also means yes","00:22:11,160 "," 00:22:12,753"
to Do you have the componentI ordered?,"00:22:12,840 "," 00:22:14,440"
"You know, I have always lovedyour sense of humor, Susan.","00:22:16,880 "," 00:22:19,120"
Have a seat.,"00:22:19,200 "," 00:22:20,316"
"No, I'm good. Thank you.","00:22:20,520 "," 00:22:21,520"
Who is this guy?,"00:22:21,560 "," 00:22:22,835"
Sonny Burch. He trafficsin black market technology.,"00:22:23,000 "," 00:22:26,038"
He's been getting us whatwe need to build the tunnel.,"00:22:26,640 "," 00:22:28,760"
Could I just have one...,"00:22:31,120 "," 00:22:32,395"
No.,"00:22:32,560 "," 00:22:33,560"
"You know, I havea special friend at the FBI.","00:22:34,400 "," 00:22:37,632"
And I say special...,"00:22:37,720 "," 00:22:38,870"
"because, well,he tells me things","00:22:39,080 "," 00:22:41,879"
that I didn't previously know.,"00:22:41,960 "," 00:22:43,599"
For example...,"00:22:44,240 "," 00:22:45,879"
your name isn't Susan.,"00:22:46,040 "," 00:22:47,838"
It's Hope Van Dyne.,"00:22:48,000 "," 00:22:50,231"
"And your unseen associate,that's your father, Hank Pym.","00:22:50,760 "," 00:22:53,673"
" That's not good, Hank. No shit.","00:22:53,840 "," 00:22:55,957"
What do you want?,"00:23:03,760 "," 00:23:05,558"
"Relationshipsare built on trust, Hope.","00:23:05,720 "," 00:23:07,871"
And I want our relationshipto have a strong foundation.,"00:23:08,040 "," 00:23:10,475"
Our relationship?,"00:23:10,640 "," 00:23:11,710"
"My business landscapehas been shifting, Hope.","00:23:11,880 "," 00:23:14,634"
"Hell, S.H.I.E.L.D. and HYDRAdon't even exist anymore...","00:23:14,800 "," 00:23:16,736"
"but now, Hank Pym...","00:23:16,760 "," 00:23:18,672"
Hank Pymis a real opportunity.,"00:23:18,840 "," 00:23:21,196"
Do you have a point?,"00:23:21,360 "," 00:23:22,430"
